web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556741804-6077","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@THR","Hollywood Reporter","Spike Lee just won his first competitive Oscar for best adapted screenplay for #BlacKkKlansman #Oscars http://thr.cm/htwNHN pic.twitter.com/SG1LA7CV4a","13","165","689","1551064931000","7:22 PM - 24 Feb 2019","/THR/status/1099872156631085056"
"1556741804-6114","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@cassiceron","Cassiano Ceron  ♿","Esqueci que também torço por #BlacKkKlansman QUE FILME
#oscars","","","","1551052943000","4:02 PM - 24 Feb 2019","/cassiceron/status/1099821874895339521"
"1556741804-6084","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@donnydupont","Donny Dupont","Spike wins his first Oscar!!  Let’s do the right thing!!! #BlacKkKlansman #oscars #oscars2019 #spikeleepic.twitter.com/An407uAdl7","11","28","134","1551064732000","7:18 PM - 24 Feb 2019","/donnydupont/status/1099871320580464641"
"1556741804-6103","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@Variety","Variety","#Oscars: #BlacKkKlansman wins for best adapted screenplay https://bit.ly/2UaHDcM pic.twitter.com/4mZd8VUbwU","11","474","959","1551064541000","7:15 PM - 24 Feb 2019","/Variety/status/1099870522999955456"
"1556741804-6036","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@eonlineasia","E! Online Asia","Spike Lee is paying tribute to Prince at the 2019 #Oscars. The #BlacKkKlansman director and Oscar winner walked the red carpet in a look that turned heads for all the right reasons. pic.twitter.com/gVDg1196KK","2","9","55","1551163800000","10:50 PM - 25 Feb 2019","/eonlineasia/status/1100286842572861441"
"1556741804-5957","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@glentonrich","Glenton Richards","Well I guess #BlacKkKlansman already found their source material for the movie sequel... https://twitter.com/thehill/status/1101373015466610688 …","","","5","1551423299000","10:54 PM - 28 Feb 2019","/glentonrich/status/1101375259322638336"
"1556741804-6011","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@WestNorwoodFFF","West Norwood Free Film Festival","Excited to announce our opening night feature at this year's free film festival #blackkklansman will screen @Volcano_Coffee on Saturday 6th April! Big thanks to headline sponsors @bonvelonorwood & Stapleton Long #freefilmfestival #westnorwood #freefilmsarethebest #communitycinemapic.twitter.com/ueeca9AdAV","2","5","12","1551537807000","6:43 AM - 2 Mar 2019","/WestNorwoodFFF/status/1101855540634968064"
"1556741804-6060","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@shannonleetweed","Mrs ShannonTSimmons","#Oscars19  Congratulations to all the great movies made this year. My favorites were #GreenBook #BlacKkKlansman #BohemianRhapsody #AStarIsBorn and well most of them! Now I will try to do what I try to do every year, and that is see all the shorts and foreign films.","10","5","170","1551068524000","8:22 PM - 24 Feb 2019","/shannonleetweed/status/1099887228967215104"
"1556741804-5997","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@KUFMS","KU Film & Media Studies","We’re so utterly excited for @WillmottKevin who took home an Oscar for Best Adapted Screenplay for “#BlacKkKlansman” with @official_spike , Charlie Wachtel and David Rabinowitz.  What an amazing accomplishment! #oscars2019 #keepwriting #KUFMSpic.twitter.com/3CUxQsACAq","","5","23","1551120672000","10:51 AM - 25 Feb 2019","/KUFMS/status/1100105949744910336"
"1556741804-6112","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@Complex","Complex","Spike Lee is in the building. 

He is nominated for Best Director for #BlacKkKlansman.

If he wins, it will be his FIRST Oscar ever and he will also become the FIRST black person to win in the category. #Oscarspic.twitter.com/XXzLyJwLWK","33","316","1.2K","1551053055000","4:04 PM - 24 Feb 2019","/Complex/status/1099822343579406337"
"1556741804-6089","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@RottenTomatoes","Rotten Tomatoes","Spike Lee wins his first Oscar! #BlacKkKlansman takes home Best Adapted Screenplay at the #Oscars

https://editorial.rottentomatoes.com/article/oscar-winners-2019-full-list-of-every-academy-awards-winner/?cmp=TWRT_Edit_Oscars_Winners …pic.twitter.com/MIppQ7rgaJ","17","198","736","1551064698000","7:18 PM - 24 Feb 2019","/RottenTomatoes/status/1099871178024337408"
"1556741804-5985","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@XeroMark","MarkXero","Watched #BLACKkKLANSMAN today and loved it. Loved the way such a serious subject was filmed in such a way it kept you entertained and amused and never lost its focus. #Movies pic.twitter.com/qL9XsaQVIE","1","1","4","1551557610000","12:13 PM - 2 Mar 2019","/XeroMark/status/1101938600571269120"
"1556741804-6033","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@MediaComposer","Avid Media Composer","Editor Barry Alexander Brown prefers using Media Composer to cut Spike Lee’s movies. “To me, there is no second choice”
⠀
READ BARRY’S BLOG  https://bit.ly/2U4hADT 
⠀
#oscars #spikelee #blackkklansman #filmmaking #avid #editing #mediacomposer #moviespic.twitter.com/GPXM5esg3M","","5","20","1551280447000","7:14 AM - 27 Feb 2019","/MediaComposer/status/1100776098584035330"
"1556741804-6046","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@Morehouse","Morehouse College","Congratulations Spike! #Morehouse #Oscars2019 #BlacKkKlansman https://twitter.com/Essence/status/1099879300478763008 …","9","267","624","1551092780000","3:06 AM - 25 Feb 2019","/Morehouse/status/1099988964381990914"
"1556741804-6009","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@NYUDDW","NYU Dramatic Writing","Congratulations DDW MFA alum Kevin Willmott on his OSCAR for Best Adapted Screenplay for BlacKkKlansman, co-written with Spike Lee, Charlie Wachtel and David Rabinowitz! #Oscars2019 #BlacKkKlansman #soproudpic.twitter.com/8RR4Ye1FpR","","3","7","1551718848000","9:00 AM - 4 Mar 2019","/NYUDDW/status/1102614885228261377"
"1556741804-6001","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@AbcsFan","Anita Baker Crew Official Fan Club Page #ABCsFCP","Nominated also for best director & best movie for #BlacKKKlansMan .Congrats to the one & only Spike Lee... Winner of ""best adapted screenplay"". Thank YOU Spike for one of the BEST directed videos for our . ""Tube socks 3 4 5 dahlas"". 

#NoOneInThepic.twitter.com/xPL1RgLAV3","1","","10","1551189097000","5:51 AM - 26 Feb 2019","/AbcsFan/status/1100392944794783749"
"1556741804-5956","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@sam_fleury","Sam Fleury","Thank you, Megan, for coming out today! We are looking forward to Ron's conversation with @ColumbiaColg president Scott Dalrymple tonight at 7:30 p.m. in Launder Hall. #blackkklansman #WeAreCChttps://twitter.com/Megan_Dollar/status/1103368431729082368 …","","","5","1551899840000","11:17 AM - 6 Mar 2019","/sam_fleury/status/1103374018894270464"
"1556741804-6035","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@eonlineasia","E! Online Asia","Imagine being on vacation & suddenly getting a call from Spike Lee. The #BlacKkKlansman actress recalls the memorable moment on the 2019 #Oscars red carpet!pic.twitter.com/hqgaxSGUpu","7","35","529","1551166680000","11:38 PM - 25 Feb 2019","/eonlineasia/status/1100298922163986433"
"1556741804-5979","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@CHECKfifteen","CHECK 15","Based on a True Statistic:
“African Americans have the highest death rate of any racial & ethnic group in the US for most cancers.”

Watch our #Oscars #BestPicture parodies at http://CHECK15.ORG  

#BlacKkKlansman #SpikeLee #CancerScreenings #HealthyLivingpic.twitter.com/sGd8jrX5rY","","3","3","1551104333000","6:18 AM - 25 Feb 2019","/CHECKfifteen/status/1100037421595385856"
"1556741804-5976","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@insecure_al","insecure Al","How many times better is #AStarIsBorn, #Blackkklansman, and #Roma than #GreenBook?  

#Oscars #MichaelCohenpic.twitter.com/xhrzv7eMxK","","1","5","1551317802000","5:36 PM - 27 Feb 2019","/insecure_al/status/1100932774524014594"
"1556741804-6000","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@claytoonz","Clay Jones","How is what Spike Lee said in any way racist toward Trump? It's not like he said he hates Oompa Loompas and doesn't want any to move into his neighborhood. https://claytoonz.com/2019/02/26/do-the-right-thing/ … #SpikeLee #DoTheRightThing #Oscars #BlacKkKlansman #Trump","","6","14","1551194102000","7:15 AM - 26 Feb 2019","/claytoonz/status/1100413941363011584"
