web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556741589-5944","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@JoeyMagidson","Joey Magidson","An Evening with Spike Lee, highlighted by a conversation between the filmmaker and Lawrence O’Donnell, plus a screening of BlacKkKlansman, one of 2018’s best films. Is Spike about to finally win an Oscar? It may just happen #blackkklansman @BlacKkKlansman #SpikeLee @Lawrencepic.twitter.com/hz8zIESaP1","","","1","1550103019000","4:10 PM - 13 Feb 2019","/JoeyMagidson/status/1095837607244763143"
"1556741589-5886","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@PiyaSRoy","Piya Sinha-Roy","Absolutely thrilled that #BlacKkKlansman composer @T_Blanchard was able to join me for a special #Oscars2019 #RoleBreakers episode - from working with Miles Davis to Spike Lee, the stories he has are incredible. Listen below!!https://twitter.com/EWlive/status/1096455925924278274 …","","6","8","1550278039000","4:47 PM - 15 Feb 2019","/PiyaSRoy/status/1096571691587624961"
"1556741589-5946","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@BlacKkKlansman","BlacKkKlansman","We’re LIVE with Spike Lee and @Lawrence O’Donnell for an exclusive #BlacKkKlansman conversation. Tune in now: http://bit.ly/bk-spike-live pic.twitter.com/QKMTIvJkAv","","15","60","1550102651000","4:04 PM - 13 Feb 2019","/BlacKkKlansman/status/1095836063438761984"
"1556741589-5921","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@IndieWire","IndieWire","Eight films directed by Black people have been nominated for Best Picture. This year is a record with two, #BlackPanther and #BlackKklansman. Only two have ever won: “12 Years a Slave” and “Moonlight.” 

More ways Black Oscar nominees could make history: http://bit.ly/2IbxUBq pic.twitter.com/iVehUDF32l","","14","61","1550426400000","10:00 AM - 17 Feb 2019","/IndieWire/status/1097193963801448448"
"1556741589-5835","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@BlacKkKlansman","BlacKkKlansman","Sending good vibes to our #BlacKkKlansman family at the #Oscars tomorrow.Thanks to @ollyog for this art piece.pic.twitter.com/krKCwINB1O","12","139","750","1550966060000","3:54 PM - 23 Feb 2019","/BlacKkKlansman/status/1099457462049005568"
"1556741589-5901","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@THR","Hollywood Reporter","Adam Driver – nominated for best supporting male for #BlacKkKlansman – looking dashing on the blue carpet at the #SpiritAwards. Will he win? http://thr.cm/hg4POb pic.twitter.com/z9LnXbQb2U","4","36","199","1550959615000","2:06 PM - 23 Feb 2019","/THR/status/1099430430061838337"
"1556741589-5909","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Festival_Cannes","Festival de Cannes","#BlacKkKlansman that won the #GrandPrix at #Cannes2018 is nominated at the #Oscars2019 in 6 categories. The ceremony will take place on Sunday night in LA. Good luck Spike Lee ! 

@TheAcademy @UniversalFRpic.twitter.com/8TaSXS7Ggj","1","43","178","1550842362000","5:32 AM - 22 Feb 2019","/Festival_Cannes/status/1098938633489399809"
"1556741589-5935","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@KatinOxford","Kat Coffin","“To tape jobs! Works every time!”

#BlacKkKlansman pic.twitter.com/w8IMR58MM8","","","","1550107156000","5:19 PM - 13 Feb 2019","/KatinOxford/status/1095854957415284736"
"1556741589-5880","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@KUCollege","KU College of LA&S","It's been a busy awards season for @KUFMS professor Kevin Willmott, who has earned several big nominations for co-writing #BlacKkKlansman, including for Best Adapted Screenplay at the #Oscars. Keep up with Willmott's impressive awards season run.  https://rockcha.lk/KWillmott_KU pic.twitter.com/DdqIgpLqUT","","","12","1550862053000","11:00 AM - 22 Feb 2019","/KUCollege/status/1099021226020872193"
"1556741589-5867","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@TheCut","The Cut","With the lead in #BlacKkKlansman, Spike Lee’s new star is becoming face-on-the-movie-poster famous https://thecut.io/2SYsnD1","2","2","11","1550932059000","6:27 AM - 23 Feb 2019","/TheCut/status/1099314853066559489"
