web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556742012-6138","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@5280Magazine","5280 Magazine","Before the movie came out, we spoke with Ron Stallworth, the real Black Klansman  http://ow.ly/35xU30lqOpz  #BlacKkKlansman","","2","9","1534440306000","10:25 AM - 16 Aug 2018","/5280Magazine/status/1030143424299769858"
"1556742012-6267","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@Variety","Variety","#BlacKkKlansman is heading for a debut of about $9 million https://bit.ly/2ntYLeA pic.twitter.com/2r8v3CEqGm","3","41","141","1534012260000","11:31 AM - 11 Aug 2018","/Variety/status/1028348071195758593"
"1556742012-6232","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@AhmedBaba_","Ahmed Baba","#Blackkklansman was incredible

An essential piece of art

I won’t spoil anything so I’ll just say when it ended, the theater was dead silent & then erupted in applause

Not only a necessary rebuke of  white supremacy but an important spotlight on the dichotomy of black identity","18","246","937","1534127569000","7:32 PM - 12 Aug 2018","/AhmedBaba_/status/1028831713462546432"
"1556742012-6296","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@RottenTomatoes","Rotten Tomatoes","#BlacKkKlansman is #CertifiedFresh at 98% on the #Tomatometer, with 149 reviews https://www.rottentomatoes.com/m/blackkklansman?cmp=TWRT_Movie_Blackkklansman_810 …pic.twitter.com/HkGhjJeLSX","12","243","1.0K","1533919265000","9:41 AM - 10 Aug 2018","/RottenTomatoes/status/1027958019802292224"
"1556742012-6256","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@MrJayWashington","Jay Washington","#BlackkKlansman grabs you from the opening scene and doesnt let go until the credits. It is a powerful film & reminder of how history is slowly repeating itself and we have to fight ignorance & intolerance. My review is going up TONIGHT.","7","20","299","1534035249000","5:54 PM - 11 Aug 2018","/MrJayWashington/status/1028444493568081920"
"1556742012-6332","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@Variety","Variety","#BlacKkKlansman Review: A major comeback for Spike Lee, this incredible true story gives the outspoken director a ripe opportunity to focus his frustration in a constructive way https://bit.ly/2M8ltHW pic.twitter.com/bcYGhKFDx3","","33","114","1533812460000","4:01 AM - 9 Aug 2018","/Variety/status/1027510048602304513"
"1556742012-6264","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@Variety","Variety","See where #BlacKkKlansman, opening this weekend, lands on our ranking of Spike Lee films: https://bit.ly/2McwYOR pic.twitter.com/BspSn0Qdsz","","28","76","1534015860000","12:31 PM - 11 Aug 2018","/Variety/status/1028363169469612032"
"1556742012-6191","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@IndieWire","IndieWire","#BlacKkKlansman: How Spike Lee Sought Out the Radical Cinematographer Who Shot Beyoncé’s ‘Lemonade’ http://bit.ly/2Mi79g3 pic.twitter.com/0p7mGI18gH","","15","52","1534329000000","3:30 AM - 15 Aug 2018","/IndieWire/status/1029676574864490496"
"1556742012-6271","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@THR","Hollywood Reporter","#BlacKkKlansman writer and director Spike Lee recalls the Charlottesville riot: ""It happened before we started shooting. I was in Martha's Vineyard and watching CNN and saw a homegrown, American apple pie act of terrorism"" http://thr.cm/fUH2SK","1","23","96","1534004343000","9:19 AM - 11 Aug 2018","/THR/status/1028314863020531712"
"1556742012-6178","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@jonnymoy","Jonny Moy","Go see #CrazyRichAsians. And #Blindspotting. And #BlacKkKlansman. Please understand one story won't capture an entire community's experience and keep up demand for more movies starring POC.","1","4","24","1534438253000","9:50 AM - 16 Aug 2018","/jonnymoy/status/1030134815226355712"
"1556742012-6227","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@seanmiura","sean miura","I’ve been seeing so many influential Black folks talking up #CrazyRichAsians and I hope that #AsianAmericanTwitter is continuing to show up for Black media this week as well!

To do the least, #BlacKkKlansman⁠ ⁠just opened and #InsecureHBO⁠⁠ just returned for a new season.","17","246","1.0K","1534141704000","11:28 PM - 12 Aug 2018","/seanmiura/status/1028890999097966593"
"1556742012-6169","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@MatthewACherry","Matthew A. Cherry  🏁","Weekend 2 of #BlacKkKlansman. Make sure to check it out if you haven’t seen it yet.  pic.twitter.com/xZYSuN3znQ","7","21","82","1534521267000","8:54 AM - 17 Aug 2018","/MatthewACherry/status/1030482999450763264"
"1556742012-6134","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@msmollyeliza","Molly Elizabeth","Man, the finale of #BlacKkKlansman was... wow. It was so silent in the theater, you could hear people breathing. You have to watch it... and then go register to vote. I’m begging you.","","3","7","1534634576000","4:22 PM - 18 Aug 2018","/msmollyeliza/status/1030958252673130502"
"1556742012-6229","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@AvaniDias","Avani","So excited to be sitting in the @triplejHack chair this week.  Tonight, I chat to iconic American film maker Spike Lee about his new movie #BlacKkKlansman https://twitter.com/triplejHack/status/1028857832106483713 …","6","11","95","1534136166000","9:56 PM - 12 Aug 2018","/AvaniDias/status/1028867768328708096"
"1556742012-6268","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@THR","Hollywood Reporter","#BlacKkKlansman star @TopherGrace on Spike Lee's vision: ""The film starts with a shot of the Civil War and it ends with Charlottesville. There's only one filmmaker who can draw that line"" http://thr.cm/ZLfr1u","10","39","138","1534011548000","11:19 AM - 11 Aug 2018","/THR/status/1028345086013317123"
"1556742012-6341","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@risapr1","risa balayem","#PSA: @BlacKkKlansman opens Friday. #GoSeeIt! Amazing #truestory..thoughtful, timely, relevant, historical, sad & hilarious. Went to screening during #NABJ18 w/#SpikeLee & #JohnDavidWashington at @DIADetroit & going again on Friday. P.S...Don't miss the opening! #BlacKkKlansman pic.twitter.com/XawZmm7Tko","","","1","1533774017000","5:20 PM - 8 Aug 2018","/risapr1/status/1027348808588509184"
"1556742012-6349","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","null","null","null","null","null","null","null","null","null"
"1556742012-6136","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@CarrieCnh12","Carolyn Hinds.","I have a lot to say about #BlacKkKlansman I will NEVER be comfortable hearing and seeing white people use the N word, NEVER. 

My battery is dying so I'll say more later","2","2","12","1534544636000","3:23 PM - 17 Aug 2018","/CarrieCnh12/status/1030581017571221508"
"1556742012-6176","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@IndieWire","IndieWire","The simple act of accepting others who speak differently is a potential big step toward healing divisions.  Here's how #BlacKkKlansman and #SorryToBotherYou get the conversation started: http://bit.ly/2wf7dCG pic.twitter.com/S4SSQawmhj","","13","56","1534475700000","8:15 PM - 16 Aug 2018","/IndieWire/status/1030291878187388930"
"1556742012-6205","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@THR","Hollywood Reporter","When asked how his father Denzel Washington felt about #BlacKkKlansman, John David said: ""I think he's a proud parent. Both of my parents are very proud"" http://thr.cm/QNESXB","3","7","45","1534228744000","11:39 PM - 13 Aug 2018","/THR/status/1029256070265483264"
"1556742012-6129","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@james00000001","💧James One  🌈","The most frightening thing about #BlacKkKlansman is its relevance to today","","2","4","1534510592000","5:56 AM - 17 Aug 2018","/james00000001/status/1030438228627615745"
"1556742012-6347","https://twitter.com/search?l=&q=blackkklansman%20%23blackkklansman%20since%3A2018-08-09%20until%3A2018-08-19&src=typd","@gretchenmoore01","Gretchen Moore","#BlacKkKlansman 
#Blindspotting 
#CrazyRichAsians 

A QUALITY week of movies pic.twitter.com/svUyWZBwyn","1","","2","1533772841000","5:00 PM - 8 Aug 2018","/gretchenmoore01/status/1027343873184550912"
