web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556735960-2888","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@errrferrr","🦖 rosenferrari","THIS

Kavita Bhanot and Ayesha Manazir Siddiqi discuss  ""Everyone wants to imagine themselves as kings and queens, but kingdoms  always exist on the backs of others.""

https://mediadiversified.org/2019/03/03/decolonial-fantasy-lands/amp/ …

#CrazyRichAsians #BlackPanther","","4","11","1551696367000","2:46 AM - 4 Mar 2019","/errrferrr/status/1102520593038172160"
"1556735960-2939","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@GraceRandolph","Grace Randolph","#Oscars REVIEW! A real game changer! Complete breakdown! #RamiMalek #BlackPanther #SpiderVerse #GreenBook #SpikeLeehttps://www.youtube.com/watch?v=ONok1UpknV4 …","36","27","378","1551116412000","9:40 AM - 25 Feb 2019","/GraceRandolph/status/1100088082706165760"
"1556735960-3063","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BET","BET","Hannah Beachler, the #BlackPanther production designer, is the first Black person to ever win the award.
https://bet.us/2C1wX9l","2","59","222","1551061832000","6:30 PM - 24 Feb 2019","/BET/status/1099859157597999105"
"1556735960-3255","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@TepidSharkTake2","Benji Black","#Oscars Predictions:

#BestProductionDesign:

Will win: #TheFavourite but
pulling for #BlackPanther","","","","1551052800000","4:00 PM - 24 Feb 2019","/TepidSharkTake2/status/1099821277357867010"
"1556735960-3094","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@treymangum","Trey Mangum","I got to speak to now-Oscar winner, @iamRuthECarter last year about #BlackPanther. 

""It’s about time that this country opened its eyes to many cultures and their diversity and their beauty and give them back their history and embrace it."" #Oscarshttps://shadowandact.com/black-panther-costume-designer-ruth-carter-interview …","1","22","44","1551059357000","5:49 PM - 24 Feb 2019","/treymangum/status/1099848776364232704"
"1556735960-3017","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@TheRoot","The Root","#BlackPanther  just won Best Original Score! 

WAKANDA DESERVES ALL OF ITS THINGS! #Oscarspic.twitter.com/QsL5iHXwyp","8","204","871","1551065349000","7:29 PM - 24 Feb 2019","/TheRoot/status/1099873911758639110"
"1556735960-3076","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@CIA","CIA","Lesotho Blankets:

One of the least plausible technologies in #BlackPanther, but if you could weave carbon nanotubes into a cloak & add in some hologram effects, you’d have a shield that would be the envy of any intel service operating in a warzone.

#ReelvsRealCIA #BlackPanther","36","115","221","1551060836000","6:13 PM - 24 Feb 2019","/CIA/status/1099854981992198144"
"1556735960-3050","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@RachelMiner1","Rachel Miner","Happy points= #SpiderManIntoTheSpiderVerse #BlackPanther #NerdyGirlsWithNotebooks & when everyone in attendance vowed to donate the equivalent $ spent on Oscar dresses to feed those in need (has to happen soon right?) #Oscars (aka Rachel's breaking point )","7","27","369","1551063031000","6:50 PM - 24 Feb 2019","/RachelMiner1/status/1099864187277398016"
"1556735960-3013","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@leonardmaltin","Leonard Maltin","We all know #RyanCoogler is talented—but you may not know that he is unwaveringly loyal to his @USCCinema classmates and colleagues—like tonight’s Oscar winner #LudwigGöransson. #BlackPanther #AcademyAwardspic.twitter.com/qXuiGU5Sqt","1","12","86","1551065822000","7:37 PM - 24 Feb 2019","/leonardmaltin/status/1099875893856559104"
"1556735960-2980","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@MingNa","Ming-Na Wen","I believe our Generalissimo was up there enjoying all the @marvel wins at the #oscars tonight. Congrats!! 2 wins for #blackpanther & 1 for #SpidermanIntoTheSpiderverse! RIP @TheRealStanLee. https://twitter.com/screenrant/status/1099879591542484995 …","22","481","4.7K","1551070312000","8:51 PM - 24 Feb 2019","/MingNa/status/1099894727015460864"
