web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556735078-2822","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@MCU_Direct","MCU Direct","While director Ryan Coogler had assumed Killmonger's final line in #BlackPanther would be cut by @MarvelStudios, producer Kevin Feige insisted that it stayed and encouraged Coogler to ""build more of the movie around it.""  http://bit.ly/2GsiIOt pic.twitter.com/fZXvGxiuZq","22","615","3.1K","1550340513000","10:08 AM - 16 Feb 2019","/MCU_Direct/status/1096833728779816960"
"1556735078-2764","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@NewBlackMan","Mark Anthony Neal","Why #BlackPanther should absolutely win Best Picture at the #Oscarshttps://www.fastcompany.com/90310948/why-black-panther-should-absolutely-win-best-picture-at-the-oscars …","2","13","29","1550940358000","8:45 AM - 23 Feb 2019","/NewBlackMan/status/1099349658185420800"
"1556735078-2817","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@RobertIger","Robert Iger","What a thrill it was to finally share #blackpanther with the world. It was a crowning achievement for @MarvelStudios and a proud moment for all of us @Disney. #WakandaForeverhttps://twitter.com/MarvelStudios/status/1096859856533839873 …","31","148","1.1K","1550362497000","4:14 PM - 16 Feb 2019","/RobertIger/status/1096925934886809600"
"1556735078-2746","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@thecrisismag","The Crisis Magazine","A black headlining superhero character written and directed by black artists is rare enough from a major studio. But making him – and his sister Shuri – successful scientists and engineers as well is another level of rarity. #BlackPanther #Oscars http://theconversation.com/black-panther-and-its-science-role-models-inspire-more-than-just-movie-awards-112268?utm_source=twitter&utm_medium=twitterbutton …pic.twitter.com/I3e35txcir","1","15","53","1550965519000","3:45 PM - 23 Feb 2019","/thecrisismag/status/1099455192225992705"
"1556735078-2851","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Darth_Meteora","Rex Albano","Check out THE AVENGERS 012 - DIGITAL CODE ONLY https://www.ebay.com/ulk/itm/163542173265 … @eBay #TheAvengers #AVENGERS #AvengersAssemble #EarthsMightiestHeroes #IronMan #CaptainAmerica #Thor #DoctorStrange #BlackPanther #CaptainMarvel #GhostRider #SheHulk #MARVEL #MarvelComics #StanLee #JackKirby","","","1","1550102989000","4:09 PM - 13 Feb 2019","/Darth_Meteora/status/1095837478391631872"
"1556735078-2803","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@THR","Hollywood Reporter","Like father, like son: 'Star Wars' sound pro's son lands Oscar nom for #BlackPanther http://thr.cm/0CpdCX pic.twitter.com/HK2smijHSJ","3","23","70","1550509806000","9:10 AM - 18 Feb 2019","/THR/status/1097543792654278657"
"1556735078-2794","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@m2mtweets","mothers2mothers","This #WomanCrushWednesday is all about @DanaiGurira... Actress, playwright, women's rights activist & m2m supporter Danai will be presenting at the #Oscars2019! Wishing her & the #BlackPanther cast & crew the best of luck!  #Regram @DanaiGurira #Oscarspic.twitter.com/MFBfIRy3l4","","11","55","1550671898000","6:11 AM - 20 Feb 2019","/m2mtweets/status/1098223658663841792"
"1556735078-2845","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@DJayCollins","Dj Collins","Those MF's at Marvel are marketing Genuises! #BlackPanther #Marvel #WakandaForever https://cnn.it/2Byay2V","","","","1550103482000","4:18 PM - 13 Feb 2019","/DJayCollins/status/1095839547831787524"
"1556735078-2826","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Complex","Complex","1 year since #BlackPanther hit theaters. pic.twitter.com/lSmp9P2hJW","31","413","1.3K","1550336693000","9:04 AM - 16 Feb 2019","/Complex/status/1096817705607462912"
"1556735078-2791","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@BET","BET","Here are 5 things about #BlackPanther’s incredible Costume Designer @iamRuthECarter. Thank you @StrongBlackLead! And @brokeymcpoverty, you’re amazing! Love the new podcast.https://bet.us/2BMhHwE","1","32","108","1550718000000","7:00 PM - 20 Feb 2019","/BET/status/1098417021853843457"
