web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556736545-3267","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@FrimpongAkwasi","Akwasi Frimpong OLY","My progress this year on the skeleton sled ! #blackpanther on ice! #hopeofabillion @doterra @olympicchannel @IBSFsliding @GhanaOlympicpic.twitter.com/mvzGYxaopx","","12","61","1549557369000","8:36 AM - 7 Feb 2019","/FrimpongAkwasi/status/1093548983102857216"
"1556736545-3275","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@FUCKKEN","×凛×","by nutpizs
#killmonger #erikkillmonger #blackpanther pic.twitter.com/U4L6vbSXlu","1","25","131","1549478005000","10:33 AM - 6 Feb 2019","/FUCKKEN/status/1093216106121056256"
"1556736545-3274","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@TheWalkingDead","The Walking Dead","Watch @DanaiGurira talk #TheWalkingDead, #BlackPanther, and #LoveOurGirls on @GMA this morning! http://bit.ly/DanaiGMA pic.twitter.com/kKnUocJfRf","15","75","457","1549481871000","11:37 AM - 6 Feb 2019","/TheWalkingDead/status/1093232323691130880"
"1556736545-3286","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@TheMarvelReport","The Marvel Report","#BlackPanther Costume Designer Ruth E. Carter is Coming to @LACMA https://bit.ly/2Dq9u1t pic.twitter.com/a5yO6Ct2zE","","11","34","1549562400000","10:00 AM - 7 Feb 2019","/TheMarvelReport/status/1093570087154372608"
"1556736545-3310","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@chadwickboseman","Chadwick Boseman","“You're a good man with a good heart. And it's hard for a good man to be king.” - T'Chaka #BlackPanther @AtandwaKani #JohnKani #FBFpic.twitter.com/MM5A1cOdKF","102","1.3K","11K","1549074559000","6:29 PM - 1 Feb 2019","/chadwickboseman/status/1091523931134136324"
"1556736545-3316","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@BishopCosplay","Bishop Cosplay","Good morning! It's February 1st and you know what time it is!
let's start off #28daysofblackcosplay with Queen Mother Ramonda!
#blackpanther 
#wakandaforever 
#cosplayer 
#blackcosplayer 
#blackcreatives 
#cosplayingwhileblack 
#poccosplay 
#cosplay 
#blackexcellence 
#cosplaypic.twitter.com/GbIR32uZTI","","134","300","1549017205000","2:33 AM - 1 Feb 2019","/BishopCosplay/status/1091283372800991234"
"1556736545-3284","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@THR","Hollywood Reporter","African-American film critics celebrate Quincy Jones, #BlackPanther http://thr.cm/nphb9m pic.twitter.com/EVz6xofwWV","1","11","52","1549569103000","11:51 AM - 7 Feb 2019","/THR/status/1093598200664150016"
"1556736545-3348","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@Lupita_Nyongo","Lupita Nyong'o","#BlackPanther
Get tickets: http://weticketit.com/blackpanther https://twitter.com/RobertIger/status/1089976483316084737 …","17","213","1.1K","1548727731000","6:08 PM - 28 Jan 2019","/Lupita_Nyongo/status/1090069229603188737"
"1556736545-3317","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@EscoBlades","Andrien Gbinigie","For #28DaysOfBlackCosplay this year, i’m starting with a side by side shot of my #BlackPanther taken by @lucidvphotos 

Vic and I really get deep into character research to come up with poses we want to recreate in our photoshoots.

This was my first ever cosplay.pic.twitter.com/KZxPZWeKLU","27","299","938","1549005754000","11:22 PM - 31 Jan 2019","/EscoBlades/status/1091235341317619717"
"1556736545-3354","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@TheRoot","The Root","250 AMC Theaters across the U.S. will be hosting free screenings of #BlackPanther during the first week of February.

START YOUR #BlackHistoryMonth IN WAKANDA! https://trib.al/G6eD5FK pic.twitter.com/46ac4AkpgF","5","165","316","1548721809000","4:30 PM - 28 Jan 2019","/TheRoot/status/1090044389429313541"
