web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556734850-2510","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@thrstyle","Hollywood Reporter Style","How #BohemianRhapsody costume designer re-created Freddie Mercury's androgynous glam http://thr.cm/xy2oP5 pic.twitter.com/LnKWH57paD","","51","146","1540904419000","6:00 AM - 30 Oct 2018","/thrstyle/status/1057255879509245955"
"1556734850-2202","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@VanityFair","VANITY FAIR","“People talk about awards and things, but I’m good,” says Rami Malek, explaining that the praise he’s gotten from Queen and Freddie Mercury’s sister about #BohemianRhapsody are enough. “Who wants more than that?” http://vntyfr.com/ynQuwlU","1","25","69","1541208612000","6:30 PM - 2 Nov 2018","/VanityFair/status/1058531760689111040"
"1556734850-2529","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@MrKennyKidd","Kenny Kidd","Just left the @RockHall for their screening of #BohemianRhapsody 
What an Awesome Movie!!! pic.twitter.com/9is5Y8V5MW","5","1","49","1540863315000","6:35 PM - 29 Oct 2018","/MrKennyKidd/status/1057083480138567680"
"1556734850-1750","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@BillboardPride","Billboard Pride","Did you catch @AdamLambert's cameo in #BohemianRhapsody? https://blbrd.cm/ad7bXF pic.twitter.com/C9jkYPh1JA","2","62","94","1541530817000","11:00 AM - 6 Nov 2018","/BillboardPride/status/1059883185826222080"
"1556734850-2212","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@wandasewhore","Clown Emoji","#FF @nycthwipthwip @mdk7105 @Reece_Lively @CadenBraylen @Tanner_Slavin @JarodHoffman3 @LewisDoesArt @siddthegrid @MarcoUrtiz  @Assemble707 @SSPPUDD @SpeedDemon153 @Arkhamfan64 
Just thought I should post a picture of our Queen before I see #BohemianRhapsody for good luck pic.twitter.com/azFTA8MjOB","7","11","29","1541203802000","5:10 PM - 2 Nov 2018","/wandasewhore/status/1058511583763152896"
"1556734850-1967","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@boxofficemojo","Box Office Mojo","'#BohemianRhapsody' Rocks the Box Office with $50 Million Debut https://imdb.to/2yRrv7k pic.twitter.com/5LIx0y3ZJc","1","85","188","1541352831000","9:33 AM - 4 Nov 2018","/boxofficemojo/status/1059136655074836481"
"1556734850-2120","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@GiteshPandya","Gitesh Pandya","#BohemianRhapsody opens at #1 FRI with very strong $18.4M and could reach about $46M for its opening wknd #boxoffice.","2","19","52","1541257712000","8:08 AM - 3 Nov 2018","/GiteshPandya/status/1058737700449206276"
"1556734850-2078","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@JinxxBVB","Jinxx","No words. Must see. #bohemianrhapsody #freddiemercury #queen #brianmay #rogertaylor #johndeacon #inspire #inspired https://www.instagram.com/p/Bpu9eT2H5jP/?utm_source=ig_twitter_share&igshid=1cncj3uana6n4 …","19","87","666","1541281546000","2:45 PM - 3 Nov 2018","/JinxxBVB/status/1058837666937126912"
"1556734850-2142","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@imyzet",":: katya ::","So I watched #BohemianRhapsody pic.twitter.com/wVjumZzAAN","","5","29","1541239078000","2:57 AM - 3 Nov 2018","/imyzet/status/1058659542957989889"
"1556734850-2076","https://twitter.com/search?l=&q=bohemian%20rhapsody%20%23bohemianrhapsody%20since%3A2018-10-24%20until%3A2018-11-08&src=typd","@omar75tafur","Omar Tafur T","What the hell is wrong with critics!
#BohemianRhapsody was terrific and marvelous! pic.twitter.com/We3Ji4DQEJ","2","6","68","1541282919000","3:08 PM - 3 Nov 2018","/omar75tafur/status/1058843426773524480"
