web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556731892-162","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@surrealistist1","Sürrealistist","Call me by your name. Elio Elio Elio... 

#HappyValentineDay #SevgililerGünü #sevgisiz #CallMeByYourName pic.twitter.com/Lf68OKCp42","","","1","1550120525000","","/surrealistist1/status/1095911032579649536"
"1556731892-159","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Nicfromasgard69","𝑵𝒊𝒄𝒌𝒚  🦕 𝑬𝒏𝒅𝒈𝒂𝒎𝒆","One year ago, today, I watched ""Call Me By Your Name""

""Is it better to speak or to die?"" 

One of my fav movies 
@CMBYNFilm
#CallMeByYourName pic.twitter.com/biNbqOdD4u","","","2","1550146782000","4:19 AM - 14 Feb 2019","/Nicfromasgard69/status/1096021161727717376"
"1556731892-155","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@arkbyttk","Timo","Katsoin juuri Call Me By Your Name :n uudelleen ja kohtaus lopussa, jossa isä puhuu Eliolle saa minut yhä itkemään.
Mikä mestariteos 
@CMBYNFilm #callmebyyourname #cmbynfilmpic.twitter.com/aDPDKwHxTh","","","","1550938238000","8:10 AM - 23 Feb 2019","/arkbyttk/status/1099340766097391622"
"1556731892-158","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@_WonderBoi_","Joe Taylor","I only watch Call Me By Your Name if I have 4 hours. 2 hours to watch. 2 hours to recover. #callmebyyourname","","1","7","1550456675000","6:24 PM - 17 Feb 2019","/_WonderBoi_/status/1097320947386728450"
"1556731892-151","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@TwitterSafety","Twitter Safety","Choose who sees your Tweets. By using block, you can control if an account can see your Tweets or message you.pic.twitter.com/7h6ZK5Z5Rk","10","69","368","1556223474000","1:17 PM - 25 Apr 2019","/TwitterSafety/status/1121508654845444096"
"1556731892-148","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@azalectric","A.Lin Jing 🦋워너원수고했어 💜","CALL ME BY YOUR NAME????!!!
#skamfrance 
#CallMeByYourName https://twitter.com/uuxxyyyyyyy/status/1096826910741430272 …","","1","5","1550409005000","5:10 AM - 17 Feb 2019","/azalectric/status/1097121002041950208"
"1556731892-160","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@suffragettecine","suffragettecinema","Call me by your name 
#callmebyyourname 
#lucaguadagnino 
#timotheechalamet 
#harmiehammer https://www.instagram.com/p/Bt52OWHFwvU/?utm_source=ig_twitter_share&igshid=1gd6l7wbfh6c7 …","","","","1550236773000","5:19 AM - 15 Feb 2019","/suffragettecine/status/1096398610906804224"
"1556731892-153","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@aoifemarieor","Aoife Marie O'Regan","It’s taken over a year of badgering by @charlenelydon but I finally get it. Call Me By Your Name has gone straight into my all time top 10. It’s got everything I could possibly want in a film @LightHouseD7 #valentinesday #CallMeByYourName pic.twitter.com/AgT9QpBgkK","3","2","17","1550189157000","4:05 PM - 14 Feb 2019","/aoifemarieor/status/1096198893967196160"
"1556731892-161","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@primula87_tmblr","🍹Primula87 🍑","BTS : #ArmieHammer reads 'Call Me By Your Name' audiobook.
#CallMeByYourName
https://twitter.com/primula87_tmblr/status/1096330807776428032?s=19 …","","4","5","1550221348000","1:02 AM - 15 Feb 2019","/primula87_tmblr/status/1096333912219906048"
"1556731892-149","https://twitter.com/search?l=&q=%22call%20me%20by%20your%20name%22%20%23callmebyyourname%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@cinafilm","Cinafilm","Call Me by Your Name (2017) - Read 603 Movie Reviews 
Link: https://cinafilm.com/1010340070  
#CallMeByYourName","","","","1550511064000","9:31 AM - 18 Feb 2019","/cinafilm/status/1097549072137887746"
