web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556732275-174","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@JAMNPP","Jason Adams","If Maurizio Cattelan directed Call Me By Your Name #mauriziocattelan #pierpaoloferrari #toiletpaper #art #photography #callmebyyourname https://www.instagram.com/p/BufH5bjn92Y/?utm_source=ig_twitter_share&igshid=1x10oysx62pw4 …","","","","1551487553000","4:45 PM - 1 Mar 2019","/JAMNPP/status/1101644760488468480"
"1556732275-170","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@lissyirl","LissyIrl!","Call Me By Your Name “Mystery of Love” by Sufjan Stevens from the #CallMeByYourName Soundt... https://youtu.be/KQT32vW61eI  via @YouTube","","","","1551274921000","5:42 AM - 27 Feb 2019","/lissyirl/status/1100752918209163264"
"1556732275-178","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@commonluckfl","Common Luck","Proud and honored that my brother @itstheRaBBiT let me use this picture as the cover of our NEW single “Call Me By Your Name” it’s one of the locations where the movie was shot. My brother is a creative artist, motivator and role model in my life, Thank you  #CallMeByYourName pic.twitter.com/AtnABctBDK","","","9","1551122242000","11:17 AM - 25 Feb 2019","/commonluckfl/status/1100112535712350209"
"1556732275-180","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@LuvMood","MoodLuv","Call Me By Your Name (2017)
#Cinematography #aesthetics #CallMeByYourName pic.twitter.com/FobqhruWkO","","1","7","1551114922000","9:15 AM - 25 Feb 2019","/LuvMood/status/1100081835416190976"
"1556732275-164","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@un_happyyy","Jiyoon_n","Call me by your name
and i'll call you by mine
#callmebyyourname pic.twitter.com/j7Du6Ygeq5","","","5","1551633195000","9:13 AM - 3 Mar 2019","/un_happyyy/status/1102255627059965952"
"1556732275-173","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@CMBYNFanSupport","CALL ME BY YOUR NAME SUPPORT GROUP","Want to relive the magic of Call Me By Your Name Live in Concert? Spend your #TBT reading what went down that night on @teammag’s website.⁣
⁣
#CMBYNInConcert⁣
#CallMeByYourName⁣
#CCConceptsPH","1","5","15","1551605228000","1:27 AM - 3 Mar 2019","/CMBYNFanSupport/status/1102138326860091398"
"1556732275-167","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@cocktalk_blog","Cocktails & Cocktalk","‘Call Me By Your Name’ Director’s New Drama Looks at Gay Romance in Italian Military
@HBO #CallMeByYourName 
https://buff.ly/2EG0sz2  pic.twitter.com/L2OUms92si","","5","23","1551428907000","12:28 AM - 1 Mar 2019","/cocktalk_blog/status/1101398781214552065"
"1556732275-179","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@mehdemibibored","𝖝 -𝕵𝖗- 𝖝𝖛𝖎𝖎𝖎","""Call me by your name, and i'll call you by mine.""
#callmebyyourname
#heartbreak","","","","1551203085000","9:44 AM - 26 Feb 2019","/mehdemibibored/status/1100451618565193728"
"1556732275-175","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@myb2425","บิบิม","ตามหาcall me by your nameฉบับแปลไทยสภาพดีค่ะ ใครสนใจอยากปล่อยเมนชั่นหรือดีเอ็มมานะคะ #รีวิวหนังสือ #แนะนำหนังสือ #CallMeByYourName #เอ่ยชื่อคือคำรัก","","","","1551387445000","12:57 PM - 28 Feb 2019","/myb2425/status/1101224876671623169"
"1556732275-168","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@irisdimero","iris","OK. So I've read that it's a possibility that the Call Me By Your Name sequel will tackle 80's AIDS epidemic. Really?!? Can we please have a romance without a tragic meaningless ending? #CallMeByYourName @RealChalamet @armiehammer","1","","","1551699284000","3:34 AM - 4 Mar 2019","/irisdimero/status/1102532825675255808"
