web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556732575-244","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@EpigramFilm","Epigram Film & TV","'Call Me By Your Name' is a dreamlike yet realistically handled gay romance, in a beautiful summer
http://epigram.org.uk/film-tv/2017/11/call-name-review … #CallMeByYourName pic.twitter.com/c02EDmb0OH","1","","4","1509881590000","3:33 AM - 5 Nov 2017","/EpigramFilm/status/927136706414960640"
"1556732575-233","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@armiehammercom","ARMIE-HAMMER.COM","16 November | 'Call Me By Your Name' New York Screening After Party http://armie-hammer.com/photos/thumbnails.php?album=455 … #ArmieHammer #CallMeByYourName pic.twitter.com/ya8yTI1rbA","","24","59","1510994583000","12:43 AM - 18 Nov 2017","/armiehammercom/status/931804936458964993"
"1556732575-196","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@awards_watch","🇺🇸 🍑 AmErika's Ass  🇺🇸 🍑","'Call Me By Your Name' Sets Record at 15th International Cinephile Society (ICS) Nominations http://awardswatch.com/2018/01/21/call-me-by-your-name-sets-record-at-15th-international-cinephile-society-ics-nominations/ … #CallMeByYourName pic.twitter.com/GTkxk14rFQ","","25","102","1516560390000","10:46 AM - 21 Jan 2018","/awards_watch/status/955149622388826112"
"1556732575-182","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@houseRCA","houseRCA","#CallMeByYourName  รอบ 16.30 วันนี้เต็มแล้วนะครับ / 16.30 for Call Me by Your Name - full house already.","2","16","7","1513411823000","12:10 AM - 16 Dec 2017","/houseRCA/status/941943573414428672"
"1556732575-218","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@davidcanfield97","David Canfield","I went deep on Luca Guadagnino's beautiful film Call Me by Your Name, the book on which it's based, and why it's such an exceptional, essential adaptation: http://ew.com/books/2017/11/29/call-me-by-your-name-movie-book-comparison/ … #CMBYN #CallMeByYourName","","41","194","1511968299000","7:11 AM - 29 Nov 2017","/davidcanfield97/status/935888994994450432"
"1556732575-215","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@Greg0wen","Greg Owen","Just watched Call Me By Your Name. It is one of the most beautiful films I’ve seen in a very long time. Timothée Chalamet @RealChalamet totally steals the film. #CallMeByYourName","2","2","21","1514462547000","4:02 AM - 28 Dec 2017","/Greg0wen/status/946350630041522176"
"1556732575-186","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@heyitsmeryry","Ryan Lloyd Golden","Just finish watching Call Me By Your Name starting @RealChalamet and Arime Hammer and god damn made me feel some type of ways .... hands down the best movie of 2017 and fuck the ending freaking hurts ouch ! #CallMeByYourName #ArmieHammer #TimotheeChalamet","1","4","12","1515879914000","1:45 PM - 13 Jan 2018","/heyitsmeryry/status/952295499687702529"
"1556732575-183","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@CamilleBeeloves","Camille","In honor of ""call me by your name"" NOT winning I'm going to watch the movie for the 6th time tonight. And I'll actually appreciate the performances given by Armie Hammer & @RealChalamet  #GoldenGlobes #CallMeByYourName #CMBYN","1","3","18","1515384676000","8:11 PM - 7 Jan 2018","/CamilleBeeloves/status/950218321038684160"
"1556732575-190","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@armiehammercom","ARMIE-HAMMER.COM","New | ""Call Me By Your Name"" Paris Premiere (80HQ) http://armie-hammer.com/photos/thumbnails.php?album=514 … #ArmieHammer #CallMeByYourName pic.twitter.com/MehXw2AMAl","1","16","60","1517340167000","11:22 AM - 30 Jan 2018","/armiehammercom/status/958420244716032000"
"1556732575-236","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@TimotheeUpdates","Timothée Chalamet Fans","scottgorenstein: I was so excited to meet Timothée Chalamet who stars in Call Me By Your Name. I told him he’s going to win multiple awards and hope that I’m right. He’s an incredible actor with great things ahead. #timotheechalamet #callmebyyourname pic.twitter.com/lou1YgYPkO","","9","43","1510930298000","6:51 AM - 17 Nov 2017","/TimotheeUpdates/status/931535303726202881"
"1556732575-185","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@skeisaulnier","Skei Saulnier","I just stood up and clapped in my basement for “Call Me by Your Name”. This film is in a different league. #CallMeByYourName #shouldwineverything","3","1","9","1516848401000","6:46 PM - 24 Jan 2018","/skeisaulnier/status/956357630234042368"
"1556732575-213","https://twitter.com/search?l=&q=call%20me%20by%20your%20name%20%23callmebyyourname%20since%3A2017-10-31%20until%3A2018-01-31&src=typd","@philliyT","Philly T","Armie Hammer speaking to the meaning of Call Me By Your Name- from the PS Film Fest red carpet feed. #callmebyyourname #CMBYN #armiehammer #TimotheeChalamet #palmspringsfilmfestival @ArmieHGlobal @Caarmsssss @cmbynupdates @CMBYNFilmpic.twitter.com/fH5V1Aclmb","1","19","30","1514944544000","5:55 PM - 2 Jan 2018","/philliyT/status/948372272741404672"
