web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556730580-80","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@GaryOldmanWeb","Gary Oldman Web  🌐","1 year ago the @DarkestHour #makeupartist winning team @TheAcademy 
@kazustudios @LucySibbick #DavidMalinowski #Oscars #AcademyAwardspic.twitter.com/JMkMcMtH3a","1","17","92","1551011640000","4:34 AM - 24 Feb 2019","/GaryOldmanWeb/status/1099648637276209153"
"1556730580-52","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@Jo_Inreal","Jo","“You are strong because you are imperfect. You are wise because you have doubts.” 
- 《The Darkest Time》#darkesthour #MovieQuotes #Churchill #gary","","","","1551592880000","10:01 PM - 2 Mar 2019","/Jo_Inreal/status/1102086537322225664"
"1556730580-69","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@iamthemacattack","Ian McDonald","#DarkestHour is bloody marvellous. Gary Oldman deserved his Oscar.","1","","3","1551476618000","1:43 PM - 1 Mar 2019","/iamthemacattack/status/1101598897397551106"
"1556730580-45","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@lienyarg","Neil Gray","That's sooo last year. A little like Now TV.","","","","1551023605000","7:53 AM - 24 Feb 2019","/lienyarg/status/1099698821238571011"
"1556730580-54","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@DenofGeekUS","Den of Geek News!","#DarkestHour director Joe Wright eyes a return to the World War II era, adapting Erik Larson's #IntheGardenofBeasts. https://www.denofgeek.com/us/books/joe-wright/279676/joe-wright-in-the-garden-of-beasts …pic.twitter.com/u6DRRYvZsM","","1","3","1551816962000","12:16 PM - 5 Mar 2019","/DenofGeekUS/status/1103026401815322626"
"1556730580-55","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@TransportPS","Pen&Sword Transport","Step into the #DarkestHour station: Hidden London takes you into one of London’s secret spaces, Aldwych station, to discover how this station that was first opened in 1907 has come to be more well-known as a filming location for film and TV https://buff.ly/2GTD6YS  #AldwychTourpic.twitter.com/81hpsvzmmM","","","","1551814261000","11:31 AM - 5 Mar 2019","/TransportPS/status/1103015076712329217"
"1556730580-48","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@AlezM132","alex","I'm entered to win #DarkestHour Hearts of Iron Game on #Steam PC from @GHeadquarters . You can enter here:https://gamerheadquarters.com/giveaways.html","","","","1551304290000","1:51 PM - 27 Feb 2019","/AlezM132/status/1100876100467593231"
"1556730580-73","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@heprer","heprer","I'm entered to win #DarkestHour Hearts of Iron Game on #Steam PC from @GHeadquarters . You can enter here:https://gamerheadquarters.com/giveaways.html","","","","1551280119000","7:08 AM - 27 Feb 2019","/heprer/status/1100774721447231488"
"1556730580-63","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@cordeliagaehrn1","cordelia@gaehrny","Great Mr. Gary Oldman!","","","1","1551825232000","2:33 PM - 5 Mar 2019","/cordeliagaehrn1/status/1103061089481306113"
"1556730580-79","https://twitter.com/search?l=&q=darkesthour%20since%3A2019-02-24%20until%3A2019-03-06&src=typd","@victoriamagnall","Victoria Magnall","It’s Oscar Night!!  Here I am with 2018 #AcademyAward winner David Malinowski for his work on #DarkestHour #oscars #oscars2019 #academyawards #awards #award #winner #win #art #arts #movie #film #costume #makeup #design #designerpic.twitter.com/50HJt6GOnb","","","2","1551021940000","7:25 AM - 24 Feb 2019","/victoriamagnall/status/1099691838800314370"
