web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556731428-115","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@gazzotwit","Andy Decroos","#AlphabeticalAndy
.
< Darkest Hour • The Human Romance >
.
[ @E1records ]
.
I still think Undoing Ruin is one of the best metal records ever. This one, not so much. #darkesthour #metal… https://www.instagram.com/p/BsfDTw-gvwU/?utm_source=ig_twitter_share&igshid=rnb3rzi0wv22 …","","","","1547190187000","11:03 PM - 10 Jan 2019","/gazzotwit/status/1083620302771376128"
"1556731428-135","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@John_Wayne_JWG","John Wayne Gaming","“There is no greater agony than bearing an untold story inside you.” 
#MayaAngelou, #IKnowWhytheCagedBirdSings Everyone needs someone to #talk to in their time of #struggle. Who do you #turn2 in your #darkesthour #TwitchFam? Being here with my #PilgrimsofGaming helps me #survivepic.twitter.com/NrwU7vFAs5","","","","1547354379000","8:39 PM - 12 Jan 2019","/John_Wayne_JWG/status/1084308974457901056"
"1556731428-145","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@Satnav1980","Mr Insignificant","Released one year ago, this was a great way to start 2018. One of my favourite films of the year went on to become one of my all time favourite movies. What a magnificent film. #GaryOldman #JoeWright #DarkestHour #WinstonChurchill #dramas #classicspic.twitter.com/2TmzSZDiVE","","","","1547169134000","5:12 PM - 10 Jan 2019","/Satnav1980/status/1083531999577550848"
"1556731428-91","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@KikiFolle","Amanda Earl","Convalescening husband = lots and lots of movies & tv. Anything to distract him from pain is fine with me. But i despise Oldman as Churchill. #darkesthour","","","","1547244209000","2:03 PM - 11 Jan 2019","/KikiFolle/status/1083846886857965570"
"1556731428-89","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@flu5h","Andy K","@TiceRichard Great Interview @SkyNews, @theresa_may Stop wasting yr valuable time on Plan A2 & work on Plan B; EXIT NO DEAL behind closed doors! UK's pain will be so short lived when the EU start imploding! Remember what happened with Y2K? #TreasureIsland #Churchill #DarkestHour","","","","1547748671000","10:11 AM - 17 Jan 2019","/flu5h/status/1085962753636999169"
"1556731428-118","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@howellshetweets","𝓔𝓶𝓶𝓪  ♥ ♡ ❥ ( ͡º ͜ʖ ͡º) ꧁꧂ °l||l°","#shoutoutmymovie
‘Darkest Hour’ (2017)
https://m.imdb.com/title/tt4555426/ … #garyoldman #lilyjames #kristinscottthomas #benmendelhson #ronaldpickup #stephendillane #samuelwest #DarkestHour #movies #movienightpic.twitter.com/jNPle9e8Zv","","","5","1548020825000","1:47 PM - 20 Jan 2019","/howellshetweets/status/1087104250897936384"
"1556731428-119","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@TheOnlyGuru","Binky","Rewatching #DarkestHour because I’ve come over all patriotic and needed a war film.  

It’s absolutely bloody superb, the casting was just perfect too.

Brilliant. pic.twitter.com/mTiuTN4qNw","5","2","17","1548008650000","10:24 AM - 20 Jan 2019","/TheOnlyGuru/status/1087053186161086465"
"1556731428-140","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@kobekko_tomoki","KITTUN","#DarkestHour : #ウィンストンチャーチルヒトラーから世界を救った男 ゲーリー・オールドマンの特殊メイク作。ナチスと徹底抗戦するか屈辱の和平かの葛藤を描いた映画。アメリカ映画ほど派手な演出じゃないけど、イギリス人の最後まで戦う美徳がよく伝わるし、地下鉄の会話は涙モノ。個人的には好き。","","","","1547252244000","4:17 PM - 11 Jan 2019","/kobekko_tomoki/status/1083880587423666176"
"1556731428-104","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@geor97","Geor","Yes, good timing for #Dunkirk and #DarkestHour. https://twitter.com/LegrandGIS/status/1086376068787781632 …","","","","1547847930000","1:45 PM - 18 Jan 2019","/geor97/status/1086379075562803201"
"1556731428-88","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@clstinatan","Tina","#darkesthour Winston Churchill","","","","1547730004000","5:00 AM - 17 Jan 2019","/clstinatan/status/1085884457452691456"
"1556731428-90","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@jemandtimmy","I Wanted The Fire  🔥","Having fun with my sharpie tattoo! #touchup @benhazlewood #darkesthour https://www.instagram.com/p/BsgtjBPFKbg/?utm_source=ig_twitter_share&igshid=175vxhaamkgl …","","","","1547245883000","2:31 PM - 11 Jan 2019","/jemandtimmy/status/1083853910543122432"
"1556731428-138","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@mycorrectview","Jack Tregim","Just as most movies shown lately are but tall pile of garbage, I watched a rare fine one. Gary Oldman was his outstanding self in #DarkestHour. One of the #GreatMovies in the last 10 years.pic.twitter.com/igpLmFUZhM","","","","1547305888000","7:11 AM - 12 Jan 2019","/mycorrectview/status/1084105587414073344"
"1556731428-126","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@yudhiestyra2","Tannie","Hari-hari paling masygul, teruntuk yang sekarang ada
#darkesthour https://www.instagram.com/p/Bs0b6OnAxjmpzDu4apyxOzxrVwNuKIXHlOs1V40/?utm_source=ig_twitter_share&igshid=191hkke8c5jub …","","","","1547907724000","6:22 AM - 19 Jan 2019","/yudhiestyra2/status/1086629871374217226"
"1556731428-136","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@joc_lucerobiols","Jose Lucero Obiols","Noche de película #DarkestHour","","","1","1547331992000","2:26 PM - 12 Jan 2019","/joc_lucerobiols/status/1084215074179428352"
"1556731428-108","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@TombolaTweets","Tom Salter","Looking forward to watching this again. #darkesthour #sirwinstonchurchill #worldwar2 #garyoldman #bluray #blurraycollection #sundayafternoonmovie https://www.instagram.com/p/Bs3AJB-AaPz/?utm_source=ig_twitter_share&igshid=jqyu5xpg9xre …","","","1","1547993835000","6:17 AM - 20 Jan 2019","/TombolaTweets/status/1086991047723491328"
"1556731428-144","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@Satnav1980","Mr Insignificant","Damn this movie gives you goosebumps. #films #movies #dramas #DarkestHour pic.twitter.com/y3rW3k4l44","","","","1547174867000","6:47 PM - 10 Jan 2019","/Satnav1980/status/1083556046432546816"
"1556731428-122","https://twitter.com/search?l=&q=Darkesthour%20%23darkesthour%20since%3A2019-01-11%20until%3A2019-01-21&src=typd","@ramdelossantos","ram.","I'm really disappointed this year. This time last year we already have screening schedules for #CMBYN #LadyBird #DarkestHour and many other films in the Oscar buzz. Now I don't seem to see any release dates?","","","","1547975080000","1:04 AM - 20 Jan 2019","/ramdelossantos/status/1086912380812943360"
