web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556733024-289","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@TheDCTVshow","Reverse Ben","“We’re going to Dunkirk” #WorldWar #Dunkirk #FilmTwitterpic.twitter.com/Ss60eD3lmN","","","7","1550494531000","4:55 AM - 18 Feb 2019","/TheDCTVshow/status/1097479726581641217"
"1556733024-298","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@robertshivery","Robert Shivery  💬","Alright, alright, alright!

My weekly #Dunkirk from @ReelBlend is done. I can now move on with my week in style! So, notes from the episode? 

1. #Whataburger is BEST
2. ...Chicago Deep Dish or NY Slice?
3. That is the same Bar!? 
4. #EmilyBluntBlend = toughpic.twitter.com/IpUInG7ffG","1","1","3","1550108196000","5:36 PM - 13 Feb 2019","/robertshivery/status/1095859320632295425"
"1556733024-285","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@VideoAdvocate","Video Advocate","A little #Farrier love...since he got such a high vote on my Valentines pole....#TomHardy #Dunkirk pic.twitter.com/p9vXeSWCyB","","1","3","1550665679000","4:27 AM - 20 Feb 2019","/VideoAdvocate/status/1098197573821779968"
"1556733024-279","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ActScribblerDJ","Madalyn Morgan","Foxden Acres: http://www.amazon.co.uk/dp/B00BCX59LE/    
Book 1, in The Dudley Sisters Saga.
A gripping story about strong women, loyalty,
love, loss and learning to love again.
#landgirls
#RAF
#Dunkirk
#psychological
#thriller
#secrets
#lies
#blackmail
#love
#paperback #Kindle #KindleUnlimitedpic.twitter.com/Ixxq2nWIoI","","8","2","1550827637000","1:27 AM - 22 Feb 2019","/ActScribblerDJ/status/1098876872035848192"
"1556733024-265","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@davidwestwood43","David Westwood","Check out what I found. DOVER TO DUNKERQUE &amp; AUTHIE RIVIERE - Two WW2 vintage Naval Military Maps 1943 https://ebay.us/jUbb0Z  via @eBay_UK #WW2 #Dover #Dunkerque #Dunkirk #Kent #maps #Authie #France #militaryHistory #naval","","1","","1550595172000","8:52 AM - 19 Feb 2019","/davidwestwood43/status/1097901844301533184"
"1556733024-291","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Deana828","Deana (#52)","Jack Lowden #fightingwithmyfamily #maryqueenofscots #dunkirk #nyc #actor #celebrity #jacklowdenpic.twitter.com/UWT3rg4cYt","","","7","1550424234000","9:23 AM - 17 Feb 2019","/Deana828/status/1097184880851648512"
"1556733024-290","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@credit4refugees","Phone Credit for Refugees","1/2 Our super-admin @niccig and 'A', a young man who used to receive our phone credit, have gone back to #volunteer in #France and are being hosted by @Care4Calais this week.

These camps are continuously forming and being evicted around #Calais and #Dunkirk.

#WeAreAllConnectedpic.twitter.com/8tOr4xMJCX","1","2","4","1550490651000","3:50 AM - 18 Feb 2019","/credit4refugees/status/1097463453428662277"
"1556733024-294","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Sean_OConnell","Sean O'Connell","I am CRYING laughing so hard at this. This, without hyperbole, is the greatest thing I have ever seen.

We are in AWE of @ShutUpKaleena and @carriEcase47. You ladies are iconic. We love you so much. 

Just incredible. The “Gabe” killed me. #Dunkirk https://twitter.com/carriEcase47/status/1096682262823948288 …","","1","8","1550322005000","5:00 AM - 16 Feb 2019","/Sean_OConnell/status/1096756101129949184"
"1556733024-275","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@4Viewers","4Viewers","Discover the story of the 51st Highland Division who stayed in France when #Dunkirk was evacuated in The Forgotten Heroes, part of a double bill on @More4Tweets 4 from 9pmpic.twitter.com/ET6SkTH8KB","","2","5","1550954700000","12:45 PM - 23 Feb 2019","/4Viewers/status/1099409813979758592"
"1556733024-270","https://twitter.com/search?l=&q=dunkirk%20%23dunkirk%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@TimotheeAuffret","AuffretTimothee","#Dunkirk 600MW offshore wind farm (northern France): offer came from a consortium made of @Orsted , #Elicio and @Total . #Elicio was part of the consortium which won the #Seamade tender in 2018 (487MW off Belgian coast, @SG_CIB participated in senior debt). #Renewables","","1","","1550573301000","2:48 AM - 19 Feb 2019","/TimotheeAuffret/status/1097810110292873216"
