web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556741189-5659","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@BoxOffice","Boxoffice","THE FAVOURITE 
$203K Friday Estimate 
$32.6M Domestic Total 
#TheFavourite #BoxOffice","","4","7","1551541062000","7:37 AM - 2 Mar 2019","/BoxOffice/status/1101869193744601088"
"1556741189-5718","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@KumariRukshmani","Rukshmani kumari","Congratulations #OliviaColman! Best Actress Olivia Colman for her brilliant performance in movie The Favourite. #TheFavourite
#Oscars #Oscars2019pic.twitter.com/s0lKjRAzfq","9","19","156","1551096475000","4:07 AM - 25 Feb 2019","/KumariRukshmani/status/1100004462175744003"
"1556741189-5670","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@BradLindenSoCal","Brad Linden","#Oscars 
I'm surprised #GreenBook beat #TheFavourite for #BestOriginalScreenplay.
The Favourite has been widely praused for its wit and cleverness while #GreenBook has been considered a worthy if earnest old-fashioned #script.https://twitter.com/TheAcademy/status/1099869623497895937 …","2","1","2","1551065066000","7:24 PM - 24 Feb 2019","/BradLindenSoCal/status/1099872722694238208"
"1556741189-5742","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","null","null","null","null","null","null","null","null","null"
"1556741189-5664","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@DavidOpie","David Opie","Cinematic Parallels: The Favourite (2018) & Sucker (2019)

#JonasBrothers #TheFavourite pic.twitter.com/XreBoTlo3Z","1","3","19","1551431854000","1:17 AM - 1 Mar 2019","/DavidOpie/status/1101411141484466176"
"1556741189-5680","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@LisaYee1","Lisa Yee","She also wins best speech. @Oscars2019Live_ @TheAcademy #thefavourite @the_favourite https://twitter.com/Variety/status/1099881529629585408 …","1","","15","1551067457000","8:04 PM - 24 Feb 2019","/LisaYee1/status/1099882752944427009"
"1556741189-5703","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@tomandlorenzo","Tom & Lorenzo","I crack up laughing every single time I see any scene with @NicholasHoult from #TheFavourite. He’s HILARIOUS in it! L @the_favourite #Oscars⁠ ⁠ #Oscars2019⁠ ⁠","2","","138","1551064426000","7:13 PM - 24 Feb 2019","/tomandlorenzo/status/1099870040390815744"
"1556741189-5690","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@RLTerry1","Ryan L. Terry","#GreenBook may be in my Top 10 films of 2018, but it’s definitely not better than #TheFavourite. Oh well, glad the #film awards season is finally over. Here’s to next year, hoping for better nominations. Glad The Favourite came away with a win!
#FilmTwitter #Oscars2019pic.twitter.com/ej5xpKE9vp","4","1","9","1551068648000","8:24 PM - 24 Feb 2019","/RLTerry1/status/1099887749207937025"
"1556741189-5738","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@tomandlorenzo","Tom & Lorenzo","#TheFavourite star Emma Stone in @LouisVuitton at the #Oscars #Oscars2019 More red carpet and commentary later on our site.  @the_favourite pic.twitter.com/uFionPntAx","51","106","425","1551054168000","4:22 PM - 24 Feb 2019","/tomandlorenzo/status/1099827014440239106"
"1556741189-5702","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-25%20until%3A2019-03-08&src=typd","@sianus_maximus","Sian Maxwell","Also anyone suffering from emetophobia (fear of sick) The Favourite contains a few scenes of that in case you want to know. As someone who doesn’t suffer as badly anymore I know at one point I would have appreciated the warning. #TheFavouriteMovie #TheFavourite #emetophobia","","","3","1551207465000","10:57 AM - 26 Feb 2019","/sianus_maximus/status/1100469986131365888"
