web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740981-5650","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@VictoriaCinemas","Victoria Cinemas","""Η Ευνοούμενη / The Favourite"" - Από σήμερα και καθημερινά με 3 προβολές στις 18:20, 19:30 & 21:45 στα ΝΕΑ Victoria Cinemas! #thefavourite #victoriacinemasgreece #victoriacinemashttps://www.facebook.com/victoriacinemas/videos/379781942846964/ …","","","","1550122024000","9:27 PM - 13 Feb 2019","/VictoriaCinemas/status/1095917317718913024"
"1556740981-5647","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@believebird","Terhi Lintukangas","""Cinematographer Robbie Ryan boldly but efficaciously uses swish pans, fish-eye lenses and long tracking shots to accentuate the ridiculously large rooms and corridors enjoyed by the aristocracy."" @TheWrap @the_favourite #film 
#TheFavourite  #Cinematographypic.twitter.com/Xa52Ij6MZ7","","","3","1550145724000","4:02 AM - 14 Feb 2019","/believebird/status/1096016725219467264"
"1556740981-5651","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@PatSonic","PatSonic.com  🐸 ~ ♩♬","'The Favourite' ให้สมกับเป็นหนังที่เข้าชิงออสการ์ภาพยนตร์ยอดเยี่ยม การแสดงที่เป๊ะเวอร์ของทั้งสามตัวเอก ร่วมกับคอสตูม ฉาก ดนตรีประกอบ ทำให้เรื่องนี้ดีจนต้องออกปากชม 

เป็นหนังของ ยอร์กอส ลันธิมอส ที่ดูง่ายและบันเทิงสุดๆ อีกด้วยนะ

#TheFavourite https://www.patsonic.com/movie/review-the-favourite/ …","","7","2","1550117074000","8:04 PM - 13 Feb 2019","/PatSonic/status/1095896558199918593"
"1556740981-5611","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@SteveLaRue2","SteveLaRue 🏄","Agreed. That is exactly what I enjoyed most about #TheFavourite. It's playfulness.","","","1","1550760240000","6:44 AM - 21 Feb 2019","/SteveLaRue2/status/1098594189653078016"
"1556740981-5637","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@the_favourite","The Favourite","All in Favour... 

Nominated for 10 Academy Awards including Best Picture. 

http://TheFavouriteFYC.com 

#TheFavourite pic.twitter.com/Syrws4SmD5","1","71","297","1550595590000","8:59 AM - 19 Feb 2019","/the_favourite/status/1097903597025521665"
"1556740981-5617","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@flabzboobz","cat lady abby  😽","Dudes hate The Favourite because it portrays women with traits typically given to men in films. Then they make themselves feel better by calling it misogynistic 

Bet this guy loved Wolf of Wall Street tho

#oscars
#thefavourite https://twitter.com/johnoplaywright/status/1099299957641826304 …","","1","2","1550946270000","10:24 AM - 23 Feb 2019","/flabzboobz/status/1099374458274381824"
"1556740981-5632","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@acrossthemargin","acrossthemargin","ATM's week long ode to cinema rolls on with the case for Yorgos Lanthimos’ The Favourite to win Best Picture at the 2019 Academy Awards: https://acrossthemargin.com/for-your-consideration-the-favourite/ … #film #Oscars #AcademyAwards #cinema #TheFavourite #comedypic.twitter.com/yay4KA77WF","","3","9","1550676374000","7:26 AM - 20 Feb 2019","/acrossthemargin/status/1098242430594437123"
"1556740981-5630","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@opheliafield","Ophelia Field","BBC Culture interview with Matthew Storey and I about #thefavourite #SarahChurchill #QueenAnne that went live today!
Is The Favourite fact or fiction? http://www.bbc.com/culture/story/20190220-is-the-favourite-true-or-fiction?ocid=ww.social.link.twitter … via @BBC_Culture","","5","10","1550697276000","1:14 PM - 20 Feb 2019","/opheliafield/status/1098330101576536074"
"1556740981-5649","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@AtomAntFunny","Jared Wilson","Sandy Powell freaking rocks! I LOVED the costumes!
#TheFavourite
#sandypowell
#Oscars
Sandy Powell On Taking A Rock'N'Roll Approach To Period Dress In The Favourite https://www.vogue.co.uk/article/the-favourite-costumes …","","1","1","1550128601000","11:16 PM - 13 Feb 2019","/AtomAntFunny/status/1095944903954259968"
"1556740981-5606","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@swfoley","Scott William Foley","The Favourite - A Movie Review: https://wp.me/p9iJv-2hS   |  #TheFavourite #Movie #Review #OscarNoms #Arts #Entertainment","1","","1","1550374196000","7:29 PM - 16 Feb 2019","/swfoley/status/1096975005869576193"
