web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556741377-5744","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@yeaahhmeme","kaitlin","The three perfect ladies from @the_favourite 

#illustration #TheFavourite pic.twitter.com/xIxnI0eT0e","1","3","18","1547829724000","8:42 AM - 18 Jan 2019","/yeaahhmeme/status/1086302714265518086"
"1556741377-5824","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@TrendWikiAU","TrendWiki Australia","The Favourite movie review: 'A delightful film, funny, absurd, anarchic and ... - https://au.trendwiki.co/index.php/trend/keyword/the-favourite/2018-12-26/story/168732 … #TheFavourite pic.twitter.com/NWtauroFkk","","","","1545830176000","5:16 AM - 26 Dec 2018","/TrendWikiAU/status/1077916002208411648"
"1556741377-5785","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@PalasGalway","Pálás Galway","Oh hey don't mind this, just a blurry pic of a few of our staff celebrating TEN OSCAR NOMINATIONS for The Favourite & Element Pictures!! 

If you haven't seen it yet, be sure to pop in. Times on http://www.palas.ie 

#OscarNoms #Oscars #TheFavourite pic.twitter.com/ToOyDQnRIl","2","4","30","1548179909000","9:58 AM - 22 Jan 2019","/PalasGalway/status/1087771497375109127"
"1556741377-5827","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@TrendWikiAU","TrendWiki Australia","The new class of lesbian genre films like 'The Favourite' means we are no ... - https://au.trendwiki.co/index.php/trend/keyword/the-favourite/2018-12-26/story/168472 … #TheFavourite pic.twitter.com/v38VssihPo","","","","1545794157000","7:15 PM - 25 Dec 2018","/TrendWikiAU/status/1077764929892032512"
"1556741377-5819","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@JoshRomOnAir","Josh Rom","I promised I’d release this interview and so I shall. @josalw & @NicholasHoult talk to The Late Late Early Early Show with @paulross about @the_favourite 

#TheFavourite #JoeAlwyn #NicholasHoulthttps://m.youtube.com/watch?v=6gW07q3LHr8 …","1","4","4","1545848262000","10:17 AM - 26 Dec 2018","/JoshRomOnAir/status/1077991862386843648"
"1556741377-5788","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@CreativeReview","Creative Review","If you loved #TheFavourite you probably also loved the beautiful typographic chapter openers used throughout the film. Designer Vasilis Marmatakis tells us how he created them @the_favourite http://bit.ly/2TKJuEq pic.twitter.com/IGORAilXXv","1","7","37","1547555411000","4:30 AM - 15 Jan 2019","/CreativeReview/status/1085152164710895617"
"1556741377-5815","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@MediaComposer","Avid Media Composer","Editor Yorgos Mavropsaridis talks choreography, deconstruction, and crafting @The_Favourite.
⠀
Via @StudioDaily  https://bit.ly/2CfvJb0 
⠀
#filmmaking #postproduction #thefavourite #yorgoslanthimospic.twitter.com/CV0zl597g4","","5","15","1545865261000","3:01 PM - 26 Dec 2018","/MediaComposer/status/1078063159213256705"
"1556741377-5771","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@ElementPictures","Element Pictures","The Favourite nominated for Film Editing! Congratulations Yorgos Mavropsaridis #TheFavourite @TheAcademy #OscarNomshttps://twitter.com/TheAcademy/status/1087702751650373637 …","","4","26","1548163562000","5:26 AM - 22 Jan 2019","/ElementPictures/status/1087702933834211329"
"1556741377-5765","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@mickmahon13","Mick Mahon","Great interview with Robbie, also BAFTA nominated today for The Favourite. Knocking it out of the park. #RobbieRyan #TheFavourite #BAFTA  #IrishTalenthttps://twitter.com/TheFilmStage/status/1082668508326973445 …","1","3","13","1547022422000","12:27 AM - 9 Jan 2019","/mickmahon13/status/1082916643217571840"
"1556741377-5791","https://twitter.com/search?l=&q=the%20favourite%20%23thefavourite%20since%3A2018-12-26%20until%3A2019-01-26&src=typd","@HRP_palaces","Historic Royal Palaces","12 #BAFTA nominations for The Favourite including Best Costume Design! Come and see the costumes for yourself in our display at #KensingtonPalace http://bit.ly/TheFavouriteKP  @the_favourite #TheFavourite pic.twitter.com/gssNr3ivIP","2","49","192","1547038789000","4:59 AM - 9 Jan 2019","/HRP_palaces/status/1082985294549434368"
