web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556738629-4810","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@vulture","Vulture","Both Late Night with Seth Meyers and Desus & Mero debuted parodies of #GreenBook https://vult.re/2E6aKa6","","8","11","1550901643000","10:00 PM - 22 Feb 2019","/vulture/status/1099187278394601473"
"1556738629-4852","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@BiolaCMR","Biola CMR","What can the movie #GreenBook teach us about relationships? This #ValentinesDay, tune in to our Facebook at 3pm to watch us discuss #relationship lessons portrayed in the 2019 #OscarNominations for Best   Picture! Follow us here to know when it starts: http://facebook.com/BiolaCMR pic.twitter.com/NrR693FFil","","","3","1550104273000","4:31 PM - 13 Feb 2019","/BiolaCMR/status/1095842863957532673"
"1556738629-4827","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@carson_newman_u","Carson-Newman University","Thank you C-N History department for teaching us about the Green Book and it’s significance as a part of Black History Month. We are encouraged to continue to raise awareness about ongoing racial profiling and work toward ending racial segregation #greenbook #BlackHistoryMonthpic.twitter.com/VZ7AlaRVpx","","1","13","1550691479000","11:37 AM - 20 Feb 2019","/carson_newman_u/status/1098305787653513216"
"1556738629-4836","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@FlicksAustralia","Flicks.com.au","Weekly box office: #EscapeRoom narrowly comes out on top, followed by #GreenBook and #TheMule https://www.flicks.com.au/news/weekly-box-office-2/ …pic.twitter.com/MHX8njEmy2","","","","1550119530000","8:45 PM - 13 Feb 2019","/FlicksAustralia/status/1095906857560854528"
"1556738629-4851","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Minnie_The_Fox","Emma of Arendelle  🦄","Saw #GreenBook tonight. What a fantastic film. Brilliant performance from all, especially from Viggo Mortensen - both moving and hilarious. Hope he gets the #Oscars","1","","1","1550104382000","4:33 PM - 13 Feb 2019","/Minnie_The_Fox/status/1095843324190212097"
"1556738629-4809","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Israel","Israel ישראל","Are you ready for the #Oscars2019 ? The Israelis sure are! Who will win?#Roma #BohemianRhapsody #GreenBook  #AStarIsBorn - we'll have to wait and see!
Share your thoughts in the comments!  #AcademyAwardspic.twitter.com/aln9C5xfY0","13","60","220","1550940436000","8:47 AM - 23 Feb 2019","/Israel/status/1099349987828350977"
"1556738629-4818","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Cathy_Miana","Cathy_Miana  🇩🇪 🇪🇺","Just coming out of Green Book.  What a wonderful film with incredibly fantastic actors. A quiet film against racism and prejudice. And great soundtrack! Favourite quote: ""This is like a cowbell at the end of Shostakovich's Seventh!  #GreenBook I  #ViggoMortensenpic.twitter.com/DxvsT8wEhW","","1","3","1550864122000","11:35 AM - 22 Feb 2019","/Cathy_Miana/status/1099029904769847298"
"1556738629-4807","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ScottMendelson","Scott Mendelson","Friday #BoxOffice: #TheyShallNotGrowOld Passes #MortalEngines As #TheUpside Nears $100M, #GreenBook Gets An #Oscars2019 Boost And #Aquaman Does Absolutely Nothing Remotely Newsworthy For Once... via @forbes by @ScottMendelson https://www.forbes.com/sites/scottmendelson/2019/02/23/box-office-oscars-aquaman-glass-lego-upside-green-book-they-shall-not-grow-old-peter-jackson/ … …","2","3","21","1550944310000","9:51 AM - 23 Feb 2019","/ScottMendelson/status/1099366234976530432"
"1556738629-4811","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@shadowandact","Shadow And Act","WATCH: White savior films and #GreenBook get skewered in a double dose of late night satire on #DesusandMero and #SethMeyers https://buff.ly/2H0dybV pic.twitter.com/478BFMuk69","","10","27","1550881808000","4:30 PM - 22 Feb 2019","/shadowandact/status/1099104081644322816"
"1556738629-4846","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@AwardsCircuit","Clayton Davis","#Oscars: Voting Opens for #AMPAS, Ranking the Categories Of the Night - http://bit.ly/2WYCBBW  - #AcademyAwards #BlackPanther #BlacKkKlansman #GreenBook #Oscars2019 #ROMA #TheFavouritepic.twitter.com/zDlZ1CTK87","","","2","1550107070000","5:17 PM - 13 Feb 2019","/AwardsCircuit/status/1095854594947600384"
"1556738629-4826","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@SchomburgCenter","SchomburgCenter","See the real story behind the #GreenBook. Watch The Green Book: Guide to Freedom on the @smithsonian channel. Premieres Feb. 25. https://www.smithsonianchannel.com/shows/the-green-book-guide-to-freedom/0/3467847 …pic.twitter.com/y2dL9US1MD","","15","27","1550711999000","5:19 PM - 20 Feb 2019","/SchomburgCenter/status/1098391852041060358"
"1556738629-4840","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@MichaelJolls","Michael Jolls","Read this comment, and sign the petition. Because everyone deserves the same recognition.  http://chng.it/L8zC9fNS  via @Change #PresentAll24 #Oscars2019 #TheFavourite #GreenBook #TheAcademy @THR #indieWire","","","","1550116520000","7:55 PM - 13 Feb 2019","/MichaelJolls/status/1095894231795855361"
"1556738629-4844","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@hedonist_redux","Lebenskünstler","This season was a washout. Yet, there is the odd diamond: #TheFavourite.
#Hereditary & #AQuietPlace, shut out in noms, were both deliciously terrifying horror fare. #GreenBook was fun, its politics aside. #CanYouEverForgiveMe is superb. #BlacKkKlansman - excellent script. #MyPick","1","","1","1550111292000","6:28 PM - 13 Feb 2019","/hedonist_redux/status/1095872306096861184"
"1556738629-4800","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Nunavut_Tweeter","Brian Barry","Just watched Green Book. Loved it!!!! Heart warming and funny as hell! #GreenBook","","","2","1550891884000","7:18 PM - 22 Feb 2019","/Nunavut_Tweeter/status/1099146346135732224"
"1556738629-4821","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@BoxOffice","Boxoffice","GREEN BOOK
$289K Wednesday
$67.2M Total (North America)
#GreenBookMovie #GreenBook #BoxOffice","","1","7","1550775534000","10:58 AM - 21 Feb 2019","/BoxOffice/status/1098658338902949888"
"1556738629-4813","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@IrishFilmCritic","Irish Film Critic","Watch A New Clip From @GoldenGlobes-Winner #GreenBook Now Available On Digital https://wp.me/payalS-4zBj  @greenbookmovie @UniversalEntpic.twitter.com/rWj97Z34sI","","9","10","1550861004000","10:43 AM - 22 Feb 2019","/IrishFilmCritic/status/1099016825109733379"
"1556738629-4819","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Streamlab_za","Streamlab ZA","IndieWire Late Night TV Eviscerates ‘Green Book’ for White Savior Narrative Before the Oscars — Watch: ""Desus & Mero"" and ""Late Night With Seth Meyers"" both took ""Green Book"" to task… http://dlvr.it/QzSRcV  #Television #DesusMero #GreenBook #Oscars #SethMeyers Via @IndieWirepic.twitter.com/QiS4RGilaO","","5","1","1550847275000","6:54 AM - 22 Feb 2019","/Streamlab_za/status/1098959239899275265"
"1556738629-4831","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@FortressofS","Fortress of Solitude","Green Book Review – Stellar Performances From Mortensen & Ali https://www.fortressofsolitude.co.za/green-book-review-stellar-performances-from-mortensen-ali/ … @Sterkinekor #GreenBook #OscarBuzz","","2","6","1550217318000","11:55 PM - 14 Feb 2019","/FortressofS/status/1096317011045638144"
"1556738629-4796","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@HRMFilmShow","The Film Show","BEST PICTURE
#Oscars #Oscars2019 #FilmTwitter
#BlackPanther @theblackpanther #BlacKkKlansman @BlacKkKlansman #BohemianRhapsody @BoRhapMovie #TheFavourite @the_favourite #GreenBook @greenbookmovie #Roma @ROMACuaron #AStarIsBorn #ViceMovie @vicemovie","","1","2","1550918212000","2:36 AM - 23 Feb 2019","/HRMFilmShow/status/1099256771598782465"
"1556738629-4830","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@SCPlus","Smithsonian Channel Plus","Much more than a travel guide, the #GreenBook became part of America’s story.

Watch The Green Book: Guide to Freedom a week ahead of its TV premiere on #SmithsonianChannelPlus. http://bit.ly/2IhzPED pic.twitter.com/TqhRfaPAib","","5","3","1550498401000","6:00 AM - 18 Feb 2019","/SCPlus/status/1097495959011975168"
