web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556739281-4881","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@WSWS_Updates","World Socialist Web Site","""What a brilliant assessment of the outrage at Green Book - indeed, what about separate drinking…"" — Robyn Elliot http://disq.us/p/200m6li  #GreenBook","1","5","5","1551220114000","2:28 PM - 26 Feb 2019","/WSWS_Updates/status/1100523042394890240"
"1556739281-4979","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@AwardsCircuit","Clayton Davis","WINNER BEST SUPPORTING ACTOR: Mahershala Ali, ""Green Book""

2nd black person to win multiple Oscars behind Denzel Washington. One of the fastest to win two Oscars.

#Oscars  #GreenBook pic.twitter.com/M5rfVrZodj","1","21","45","1551061448000","6:24 PM - 24 Feb 2019","/AwardsCircuit/status/1099857546796445696"
"1556739281-4870","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@FrostBarnes","Frost-Barnes","Green Book is a perfectly nice little film (but it's not Oscar-worthy).  It's got two strong performances and is both funny and thoughtful.  It is the skim milk of movies dealing with racism.  #GreenBook #Oscars","","1","9","1551109606000","7:46 AM - 25 Feb 2019","/FrostBarnes/status/1100059537598439424"
"1556739281-4959","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@globaltimesnews","Global Times","#BohemianRhapsody won big at the #Oscars2019, while Best Picture went to the #GreenBook.
The big winners of the night:
Bohemian Rhapsody: 4
Black Panther: 3
Green Book: 3
Roma: 3 pic.twitter.com/92a82etXzi","1","3","39","1551075165000","10:12 PM - 24 Feb 2019","/globaltimesnews/status/1099915080097918978"
"1556739281-4902","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@chrysoberyll","Lara  🌸","I haven't seen Green Book (yet) and don't get me wrong, it's probably a good film (I mean it just won best picture) but a film about racism in which the white guy gets nominated as best LEAD and the black guy who actually HAS TO DEAL WITH RACISM, as SUPPORTING
#Oscars #GreenBook","1","","7","1551079589000","11:26 PM - 24 Feb 2019","/chrysoberyll/status/1099933638580494336"
"1556739281-4981","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@PhilGuie","Phil Guie","More #Oscars wins tonight for either #BlackPanther & #IfBealeStreetCouldTalk than #GreenBook so far. Hooray! (None of Green Book's nominations have come up yet, but still.) #Oscars2019","","","1","1551060692000","6:11 PM - 24 Feb 2019","/PhilGuie/status/1099854377735589888"
"1556739281-4947","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@NALC_National","Letter Carriers","The #GreenBook wins Best Picture at the #Oscars! Did you know the movie was named after the ""Green Book"" written by late Letter Carrier #VictorHugoGreen? Green created the book to help African-American travelers find black-& white-owned hotels http://www.NALC.org/greenbook  #postalproudpic.twitter.com/o7lCzkTCbf","1","9","17","1551135616000","3:00 PM - 25 Feb 2019","/NALC_National/status/1100168632867393536"
"1556739281-4977","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@sttepodcast","Skip To The End","The Best Supporting Actor #Oscar goes to Mahershala Ali for Green Book.

#Oscars #Oscars2019 #AcademyAwards #GreenBook pic.twitter.com/PvNIF3Qw44","","2","17","1551061472000","6:24 PM - 24 Feb 2019","/sttepodcast/status/1099857650165182469"
"1556739281-4989","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@hilarialexander","Hilaria Alexander","The statements coming from Viggo Mortensen are appalling, as if #GreenBook is the best movie ever made about the #civilrightsmovement. 
Mississippi Burning, Malcom X, Selma. All of them better movies than Green Book. #Oscars","","","","1551054719000","4:31 PM - 24 Feb 2019","/hilarialexander/status/1099829326504169472"
"1556739281-4875","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@alwayselizabeth","Elizabeth Kaszynski Gilmore","And as a note for teachers - there are facsimile copies of a whole bunch of #GreenBook editions available. For example, in my Maps class we planned road trips, then replanned them using only stops listed in the Green Book. Many students had no idea something like that existed. https://twitter.com/vikkie/status/1099887229764321281 …","","1","4","1551110291000","7:58 AM - 25 Feb 2019","/alwayselizabeth/status/1100062411292372992"
