web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556739583-4997","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@AaronsPS4","Aaron Neuwirth","Review: ‘Green Book’ Delivers A Marvelous And Timely Road Trip Movie via @WeLiveNetwork https://weliveentertainment.com/welivefilm/review-green-book-delivers-marvelous-timely-road-trip-movie/ …
#GreenBook #MovieReview #ViggoMortensen #MahershalaAli","","1","3","1541098413000","11:53 AM - 1 Nov 2018","/AaronsPS4/status/1058069550799892480"
"1556739583-4999","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@TrendWikiUSA","TrendWiki USA","The Green Book featured at NO Film Fest - https://trendwiki.co/index.php/trend/keyword/green-book/2018-10-29/story/125544 … #GreenBook pic.twitter.com/EQAlop9dNP","","","","1540846091000","1:48 PM - 29 Oct 2018","/TrendWikiUSA/status/1057011234409721856"
"1556739583-5036","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","null","null","null","null","null","null","null","null","null"
"1556739583-5013","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@filmandtvnow","Film and TV Now","LFF 2018 News: Surprise clip of Green Book is revealed starring Mahershala Ali and Viggo Mortensen:

http://www.filmandtvnow.com/lff-2018-news-surprise-clip-of-green-book-is-revealed/ …

#GreenBook #MahershalaAli #ViggoMortensenpic.twitter.com/ymWFGUNYAp","","","","1540314000000","10:00 AM - 23 Oct 2018","/filmandtvnow/status/1054779484258353152"
"1556739583-5012","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@festival_system","Film Festival System","FILM FESTIVAL SYSTEM: The Festival Authority will host the 2018 Tier 1 Film Festival Showdown between FFP Champion Green Book from TIFF vs FFT Champion Shoplifters from Cannes. This will no doubt be an amazing battle!
#FilmFestival #Tiff18 #cannes2018 #GreenBook #Shoplifterspic.twitter.com/xXuQhuoAkG","","11","12","1540108141000","12:49 AM - 21 Oct 2018","/festival_system/status/1053916050515886080"
"1556739583-5009","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@IsaacEssel","Isaac Essel","NDC Green Book: Time has exposed NPP’s lies – Mahama
https://3news.com/ndc-green-book-time-has-exposed-npps-lies-mahama/ … @JDMahama @OfficialNDCGh #GreenBook pic.twitter.com/JHQwRNpUey","","","","1541158392000","4:33 AM - 2 Nov 2018","/IsaacEssel/status/1058321121509076993"
"1556739583-5029","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@erfoud_","Eriko","L.A.のローレルキャニオン通りにある ""Green Book"" のビルボードだそうです。
porch90028: It's getting real.. #laurelcanyon #losangeles #greenbook @nvprods #mahershalaali #viggomortensen #thanksgivingday https://www.instagram.com/p/Bpa2n1Eh9IU/?utm_source=ig_web_button_share_sheet …","","1","2","1540627851000","1:10 AM - 27 Oct 2018","/erfoud_/status/1056095869957619712"
"1556739583-5023","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@princesscinemas","Princess Cinemas","Coming to the Princess this Oscar season!

Green Book looks like the feel-good movie of 2018. #KWAwesome #GreenBook pic.twitter.com/fc6Pr2FuxR","1","","2","1540576807000","11:00 AM - 26 Oct 2018","/princesscinemas/status/1055881775451439106"
"1556739583-5005","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@premieresmovies","Premieres Movies","#GreenBook Green Book: Letter http://www.traileraddict.com/green-book/letter?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/BB6yKuKYs2","","","","1540864925000","7:02 PM - 29 Oct 2018","/premieresmovies/status/1057090231164268544"
"1556739583-5030","https://twitter.com/search?l=&q=green%20book%20%23greenbook%20since%3A2018-10-21%20until%3A2018-11-05&src=typd","@MadMassit","MadMass.it","Green Book recensione del film di Peter Farrelly con Viggo Mortensen e Mahershala Ali presentato in anteprima alla #FestadelCinemadiRoma @romacinemafest
#GreenBook #PeterFarrelly #ViggoMortensen #MahershalaAli #RomaFilmFest #RomaFF13 #Recensioni #MadMassithttps://www.madmass.it/green-book-recensione/ …","","","1","1540625792000","12:36 AM - 27 Oct 2018","/MadMassit/status/1056087235714412544"
