web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556738121-4324","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@leonardmaltin","Leonard Maltin","Let's hear it for the beauty of black and white cinematography. Cuarón says he was channeling his great collaborator Emmanuel ""Chivo"" Lubezki. He did one hell of a job #Roma #Cinematography #AcademyAwards @TheAcademy @alfonsocuaronpic.twitter.com/IRoc4dGGcd","4","24","154","1551059603000","5:53 PM - 24 Feb 2019","/leonardmaltin/status/1099849809840693248"
"1556738121-4282","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@GeekBomb","Geek Bomb","Another #Oscar for #Roma! The drama just won Best Foreign Language Film. #Oscarspic.twitter.com/yY3zOgrD1A","","4","42","1551060513000","6:08 PM - 24 Feb 2019","/GeekBomb/status/1099853627831865344"
"1556738121-4427","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@itsjveliz","J. Veliz","My BFFs dog is ready to go to an #Oscars viewing party with his Mexican designer bow tie! We’re rooting for you @YalitzaAparicio y #Roma!!!!  #OrgulloMexicano #RedCarpet pic.twitter.com/4En631RWDU","","","3","1551055800000","4:50 PM - 24 Feb 2019","/itsjveliz/status/1099833858562887680"
"1556738121-4469","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@PiticView","Park View Pitic","#Roma compite con estos filmes para el máximo galardón de los #Oscar 
https://bit.ly/2T4uh4x pic.twitter.com/poQr4GOyLx","","","","1551052800000","4:00 PM - 24 Feb 2019","/PiticView/status/1099821274832920576"
"1556738121-4309","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@Variety","Variety","#Oscars: #Roma wins best foreign language film https://bit.ly/2UaHDcM pic.twitter.com/rVnBtMPR4Q","5","459","977","1551060399000","6:06 PM - 24 Feb 2019","/Variety/status/1099853148649271296"
"1556738121-3981","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@Carlos_Film","Carlos Aguilar","Since this tweet is getting a bit of attention, maybe you’d also like to read my interview with @alfonsocuaron for @REMEZCLA. He discusses the “torta” vs. “taco” controversy #Oscars #Roma http://remezcla.com/features/film/alfonso-cuaron-roma-interview-mixtec-subtitles/ …","","12","176","1551076035000","10:27 PM - 24 Feb 2019","/Carlos_Film/status/1099918732254633984"
"1556738121-3865","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@MolinaStreetArt","La Molina Street Art","Nice wall by Italian artist Alice Pasquini in Rome, Italy (2017)

#alicepasquini #rome #italy #roma #italia #streetart #artedistrada #urbanart #arteurbana #graffiti #mural #romastreetart #romagraffiti

 via http://wantedinrome.com  | http://goo.gl/rRyTpH pic.twitter.com/3dcXeK1jYf","","12","29","1551199614000","8:46 AM - 26 Feb 2019","/MolinaStreetArt/status/1100437057166602240"
"1556738121-3842","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@BernardWitek","Bernard Witek","#Ceiling in the #Church of St. #Louis of the French (Italian: San #Luigi dei Francesi). It is on the way from Piazza Navona to Pantheon  #Roma #Rome #Italia #Italy #chiesa #architecture #architettura #photo #photography #Wow #500pxrtg #Foto #Fotos #Chiesa #painting #frescopic.twitter.com/pX1bzxJByI","","7","14","1551272024000","4:53 AM - 27 Feb 2019","/BernardWitek/status/1100740768367546374"
"1556738121-3707","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@CmdotCom_En","CalcioMercato (En)","All-Italian race for #Brescia starlet Sandro #Tonali; #Juventus, #Roma, #Napoli and #Inter chase youngster http://dlvr.it/R0FGmP pic.twitter.com/qVUdGLEIM3","","4","12","1551824252000","2:17 PM - 5 Mar 2019","/CmdotCom_En/status/1103056981114277888"
"1556738121-4109","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@NBCLatino","NBC Latino","Mexican filmmaker @RealGDT, who won Best Director in 2018, presents this year’s winner. 

Mexican filmmaker @alfonsocuaron wins this year for #Roma.  https://www.nbcnews.com/news/latino/alfonso-cuar-n-s-roma-considered-one-best-films-year-n947751 …","4","60","157","1551067800000","8:10 PM - 24 Feb 2019","/NBCLatino/status/1099884189036539904"
"1556738121-3920","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@LATACO","L.A. TACO  🌴 🌮",".@alfonsocuaron won the Oscar for best director, but his journey to the @TheAcademy has been a roller coster of ups and downs #Oscars2019 #Roma https://www.lataco.com/alfonso-cuaron-roma-oscars/ …","","11","16","1551114540000","9:09 AM - 25 Feb 2019","/LATACO/status/1100080231543521280"
"1556738121-4059","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@joroulette","Joey Roulette","Are We Sure this best picture award isn't another Moonlight mistake........ #Roma","","2","8","1551068240000","8:17 PM - 24 Feb 2019","/joroulette/status/1099886036027613184"
"1556738121-4302","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@ADuralde","Alonso Duralde  🌹","#Roma wins Best Foreign Film. Hope it wins twice. #Oscars","3","5","61","1551060429000","6:07 PM - 24 Feb 2019","/ADuralde/status/1099853273459314688"
"1556738121-4065","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@anishdevanpally","Anish","Ohhh yess yesss yessss..
Alfonso Cuaron..
#Roma
#Oscarspic.twitter.com/yfOLsPc8hE","1","5","70","1551068178000","8:16 PM - 24 Feb 2019","/anishdevanpally/status/1099885774785384450"
"1556738121-4252","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-25%20until%3A2019-03-06&src=typd","@CBSThisMorning","CBS This Morning","Congrats to #Roma on winning Best Foreign Language Film, and to @netflix on winning multiple Oscars for the first time ever. Roma is also the tenth foreign language film to be nominated for Best Picture 
- @erikdavis 
#Oscarspic.twitter.com/ZpDTbAo9sC","2","12","67","1551060661000","6:11 PM - 24 Feb 2019","/CBSThisMorning/status/1099854246097219584"
