web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556737429-3656","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@AndreaMaz_Photo","AM Fine Art Prints","#Rome, an abstract view of the #Colosseum - Canvas prints available on my store, ships in 3 business days >> https://andrea-mazzocchetti.pixels.com/featured/colosseum-rome-12-andrea-mazzocchetti.html?product=canvas-print …

#Italy #Italia #Roma #Colosseo #Coliseum #Art #FineArt #Abstract #FineArt #FineArtAmerica #WallArt #ArtoftheDay #Artsypic.twitter.com/7Bfup8b0MY","","","2","1550147400000","4:30 AM - 14 Feb 2019","/AndreaMaz_Photo/status/1096023752033357825"
"1556737429-3412","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@VishekC","Vishek Chauhan","If #Roma wins best picture it would be a historic moment..it has played in only 200 odd theatres..primarily a TV film..streamed globally..produced by a streaming giant..directed by an Oscar winner..the lines have clearly blurred..a new reality awaits..@NetflixIndia @TheAcademy","2","1","11","1550948691000","11:04 AM - 23 Feb 2019","/VishekC/status/1099384609010180096"
"1556737429-3517","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Romanipe","Romanipe","On #February20 163 years ago the slavery of #Roma which lasted 500 years was finally abolished in #Romania. Today, segregation violence, hate speech, persecution and discrimination remain a reality for Roma. A reality rooted in a  history we often dismiss. https://www.travellerstimes.org.uk/features/feature-roma-and-gypsy-slavery …","2","12","11","1550680468000","8:34 AM - 20 Feb 2019","/Romanipe/status/1098259600338546688"
"1556737429-3658","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ERGO_Network","ERGO Network","The Alliance Against #Antigypsyism welcomes the adoption of a @EuropeanParl Resolution yesterday calling the EU and Member States to adopt strong #Roma inclusion plans post-2020 and to step up the fight against antigypsyism. https://bit.ly/2tlHRBV  @EU_Justice @VeraJourova","","8","9","1550142618000","3:10 AM - 14 Feb 2019","/ERGO_Network/status/1096003696637501441"
"1556737429-3589","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@LRPR7780","✨RLRRLRLL7","Seven Thoughts.  http://leerudnicki.wordpress.com  #film #attorney #amazon #producer #hollywood #blog #international #contract #copyright #music #television #indiefilm #losangeles #lawyer #netflix #writer #blog #roma #film #attorney #producer #hollywood #blog #international #losangelespic.twitter.com/ZlYj4nB5bk","","1","4","1550452523000","5:15 PM - 17 Feb 2019","/LRPR7780/status/1097303532653432834"
"1556737429-3467","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@StavroulaSokoli","Stavroula Sokoli  🗺️","Now we know that the #subtitle synchronization and use of brackets for Mixteco  was the director's decision. ""Cuarón was heavily involved in the English-language #subtitling of #Roma, a job he considered painful.  @ataafr what do you think?http://remezcla.com/features/film/alfonso-cuaron-roma-interview-mixtec-subtitles/ …","1","3","5","1550839212000","4:40 AM - 22 Feb 2019","/StavroulaSokoli/status/1098925424594378752"
"1556737429-3678","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@elnorte_gente","elnorte_gente",".@diegoluna_ admitió que desearía vivir en un México diferente, por lo que festeja la reflexión que hace la cinta #Roma http://bit.ly/2tlSZPm","","","1","1550102979000","4:09 PM - 13 Feb 2019","/elnorte_gente/status/1095837439745277953"
"1556737429-3626","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@SaadAbedine","Saad","Ignorant racists do come in all shapes, forms & nationalities

Lousy Mexican soap opera ""star"" Sergio Goyri, a 60 years old fart, apologized after slamming the film community for nominating #Roma's Yalitza Aparicio, calling her ""a fucking Indian who says, Yes, ma'am, no, ma'am."" https://twitter.com/mileniotv/status/1096507462721724416 …","3","6","11","1550290651000","8:17 PM - 15 Feb 2019","/SaadAbedine/status/1096624590447656960"
"1556737429-3520","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@OnTheRedCarpet","On The Red Carpet","#Roma star @YalitzaAparicio shines in gold at Vanity Fair and L'Oréal Paris New Hollywood Party in Los Angeles. (Photo: Emma McIntyre/Getty Images for @VanityFair) @ROMACuaron #yalitzaaparicio #fashion #roma #entertainment #oscarspic.twitter.com/bZf1RBRY5W","","4","8","1550679047000","8:10 AM - 20 Feb 2019","/OnTheRedCarpet/status/1098253640198811648"
"1556737429-3390","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Variety","Variety","#SpiritAwards: #Roma wins best international film https://bit.ly/2tBrP7a pic.twitter.com/8FfcgnRlow","5","127","412","1550962443000","2:54 PM - 23 Feb 2019","/Variety/status/1099442292815847424"
