web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556738398-4637","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@Romaniarts","Romani Arts","Roma Economic Life

#Mobility has, for many #Roma, been part and parcel of #identity. It’s “not all #waggons and #horses” though and Roma have been #engaged with #agriculture (as they still are in many places), #artisan #skills and automobiles #trading, road repairs & roofing...pic.twitter.com/QEm518rPlw","1","5","9","1540990061000","5:47 AM - 31 Oct 2018","/Romaniarts/status/1057615087677116426"
"1556738398-4654","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@qmaasim","Muhammad Aasim Qamar","#JioMAMIwithStar2018: 

#Roma - Slow in the beginning but simply brilliant afterwards - 9/10
#Burning - Started of well but lost interest midway, so the climax impact was just lukewarm - 6/10pic.twitter.com/iweEew5he6","","","2","1540899745000","4:42 AM - 30 Oct 2018","/qmaasim/status/1057236275822907392"
"1556738398-4724","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@RomaSupport","Roma Support Group","Unacceptable representation of #Roma in a local Sheffield newspaper: ‘they are like animals’; ‘they are not humans.’ @ReportRacismGRThttps://twitter.com/roxanabarbulesc/status/1056158355666989061 …","1","13","14","1540715831000","1:37 AM - 28 Oct 2018","/RomaSupport/status/1056464885222178816"
"1556738398-4579","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@ThePeterPaige","Peter Paige","Saw #Roma tonight. Simple, quiet, gorgeous. A vivid, visceral portrayal of an invisible woman. She will be with me for a long, long time.","","1","21","1541312588000","11:23 PM - 3 Nov 2018","/ThePeterPaige/status/1058967863699038208"
"1556738398-4620","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@rsmrymedia","ʀᴏsᴇᴍᴀʀʏ ᴍᴇᴅɪᴀ","This seems backwards but whatever you say, Netflix.

#netflix #film #roma #theballadofbusterscruggs #busterscruggs #birdbox #television #academyawards #oscars #streamersconnected #supportsmallstreamers #twitchcreative #twitch https://goo.gl/y8YpTP","","4","5","1541070803000","4:13 AM - 1 Nov 2018","/rsmrymedia/status/1057953745705807873"
"1556738398-4787","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@jkaydj","Arturo Jkay Arturi","Superparty glossdisco @ l”Alibi
-
-
-
-
#party #instadj #instagood #instamood #instamusic #likelike #dj #djset #djlife #djlifestyle #me #mylove #passione #roma #testaccio #alibiclub… https://www.instagram.com/p/BpYGqG3HItg/?utm_source=ig_twitter_share&igshid=16areyxn7v7vf …","","","1","1540514609000","5:43 PM - 25 Oct 2018","/jkaydj/status/1055620899397947395"
"1556738398-4611","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@gabriro91","Gabriele Romano","#Roma, #Nzonzi: ""#Monchi convinced me to come here. We have to be more consistent""https://goo.gl/9Lt2uU","","7","9","1541093640000","10:34 AM - 1 Nov 2018","/gabriro91/status/1058049532087406592"
"1556738398-4663","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@SaveATrain","Save A Train","We wish you that you #traintravel to #rome #roma soon #TreviFountain - http://SAVEATRAIN.COM https://twitter.com/historylvrsclub/status/1054515541916946432 …","","2","9","1540878902000","10:55 PM - 29 Oct 2018","/SaveATrain/status/1057148855890964481"
"1556738398-4646","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@YolBump","blog musica","#conchitawurst  nuovo #allbum From #vienna with #love con l'orchestra sinfonica  inedito have i ever been in love #song #outnow #milano #roma #napoli #torino #palermo #italia #austria  #eurofans  #playlist #spotifyhttps://twitter.com/musicalitaest/status/1057352451383271426 …","1","9","16","1540937129000","3:05 PM - 30 Oct 2018","/YolBump/status/1057393077697044486"
"1556738398-4683","https://twitter.com/search?l=&q=roma%20%23roma%20since%3A2018-10-26%20until%3A2018-11-08&src=typd","@trashippo","Trashippo","#Roma today 
#Maltempo #29ottobrepic.twitter.com/GBGk3e2YXS","1","8","17","1540821738000","7:02 AM - 29 Oct 2018","/trashippo/status/1056909089974947845"
