web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740565-5466","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@gjr1837","Gord","@ladygaga just saw a star is born today.  Great performance Lady Gaga!  I’m not a cryer but was welling up for this movie.  You are a beautiful, strong woman who touches people with your presence.  Good luck tonight! #astarisborn #Oscars2019","","","","1551053330000","4:08 PM - 24 Feb 2019","/gjr1837/status/1099823496757198848"
"1556740565-5468","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","null","null","null","null","null","null","null","null","null"
"1556740565-5463","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@prvkone","prvkx","A STAR IS BORN will WIN.
#Oscars #AStarIsBorn  #Shallow","","","2","1551054964000","4:36 PM - 24 Feb 2019","/prvkone/status/1099830350463660032"
"1556740565-5451","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@Gaga_Canada","~ 𝕃𝔸𝔻𝕐  𝔾𝔸𝔾𝔸 ~","Check out this VIDEO of a deleted scene from A Star Is Born!
It features a NEW SONG called “Clover”

#LadyGaga #AStarIsBorn #ASIB #Clover #Gaga #BradleyCooper #BradleyGaga @starisbornmovie @ladygagapic.twitter.com/nOi5SzjBLD","","5","22","1551317094000","5:24 PM - 27 Feb 2019","/Gaga_Canada/status/1100929803266478080"
"1556740565-5430","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@gerrygaga28","Gerry Gaga","'A Star Is Born Soundtrack (Platinum Edition)' including 'Clover' plus Radio Edits for Shallow, I'll Never Love Again & Always Remember Us This Way on iTunes please @ladygaga @interscope @starisbornmovie, that would boost the soundtrack and extend the #1 streak. #AStarIsBorn","","2","8","1551284618000","8:23 AM - 27 Feb 2019","/gerrygaga28/status/1100793589334831104"
"1556740565-5460","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@CineplexMovies","Cineplex",".@ladygaga has made history as the first person to score dual nominations for Best Original Song (Shallow) and Best Actress (#AStarIsBorn) in the same year. Barbara Streisand previously won the Oscar for Best Song for the 1976 version of A Star Is Born.","1","1","7","1551055555000","4:45 PM - 24 Feb 2019","/CineplexMovies/status/1099832830266269699"
"1556740565-5440","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BORReport","BoxOfficeReport.com","A Star is Born grossed an estimated $220K on Monday.  Total gross stands at $213.10M.

#AStarIsBorn  #BoxOffice  @wbpictures  @starisbornmovie","1","20","78","1551803032000","8:23 AM - 5 Mar 2019","/BORReport/status/1102967976481841152"
"1556740565-5439","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@ladygagachile95","Lady Gaga Chile 95","iTunes Mundial 05/03 #AStarIsBorn 

Canciones
#1 Shallow (121 día no consecutivos)
#3 Always Remember Us This Way
#11 I'll Never Love Again

Álbumes
#2 A Star Is Born Soundtrack pic.twitter.com/WYvbZNOuVf","","8","22","1551822080000","1:41 PM - 5 Mar 2019","/ladygagachile95/status/1103047869492326400"
"1556740565-5446","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BonSomerville","Bonnie Somerville","#tbt A star is Born indeed. So proud of this guy. A true talent and a class act. #AStarIsBorn #BradleyCooper 2007pic.twitter.com/c6bJuRz6nk","2","1","48","1551395980000","3:19 PM - 28 Feb 2019","/BonSomerville/status/1101260676658425856"
"1556740565-5452","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@allaboutgodga","All About Gaga","I’m doing a raffle for the ‘A Star Is Born (Blu-Ray)’ DVD. Follow, RT, and post a screenshot that you have bought or are streaming ‘Shallow’! Contests ends tomorrow night! Good luck !
#Shallow #AStarIsBorn 
(US only) pic.twitter.com/Unvh0HbXir","7","9","14","1551305956000","2:19 PM - 27 Feb 2019","/allaboutgodga/status/1100883088542904320"
"1556740565-5424","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BoxOffice","Boxoffice","A STAR IS BORN
$213K Monday
$213M Total (North America)
#AStarIsBorn #BoxOffice","","7","30","1551812609000","11:03 AM - 5 Mar 2019","/BoxOffice/status/1103008143963877376"
"1556740565-5432","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@ASIBFilm","A Star Is Born","A Star Is Born encore coming March 1st to select theaters. #AStarIsBorn pic.twitter.com/J3gRKaHBFM","4","50","179","1551281875000","7:37 AM - 27 Feb 2019","/ASIBFilm/status/1100782085000908801"
"1556740565-5467","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@ElFaroleo","El Faroleo #MGWV","Pronóstico de Mejor guion adaptado es Para A Star Is Born |

#FaroleandoConLosOscars2019  
#OSCARS #Oscars2019 #TheOscars2019 #Showbiz #Oscar2019 #MejorGuionAdaptado #Bestadaptedscreenplay #AStarIsBorn #BradleyCooper #LadyGaga |...https://www.youtube.com/watch?v=nSbzyEJ8X9E …","","","","1551053112000","4:05 PM - 24 Feb 2019","/ElFaroleo/status/1099822586500993024"
"1556740565-5434","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@ASIBFilm","A Star Is Born","A Star Is Born Encore coming to own in digital June 2019.
#AStarIsBorn","","12","40","1551715465000","8:04 AM - 4 Mar 2019","/ASIBFilm/status/1102600695130271745"
"1556740565-5420","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@Rigel9000","John B.","Me and sis had a choice between Green Book and a Star Is Born last week and we chose Green Book  -  don’t think there was a bad decision either way! Gotta see #AStarIsBorn now!!! #oscars","1","1","3","1551064394000","7:13 PM - 24 Feb 2019","/Rigel9000/status/1099869905908912133"
"1556740565-5429","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@CGSHollywood","Couch Guy Hollywood","Do you think A STAR IS BORN is taking home BEST PICTURE #AStarIsBorn #Oscars #AcademyAwards2019 #BradleyCooper #LadyGaga #LadyGagaOscar","","3","3","1551054198000","4:23 PM - 24 Feb 2019","/CGSHollywood/status/1099827139208110082"
"1556740565-5461","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@DrFirouzi","Dr. Kameron Firouzi","Watching A Star is Born and I’m not trying to be that guy buuuuut it’s not that good. #AStarIsBorn #AcademyAwards","","","1","1551055293000","4:41 PM - 24 Feb 2019","/DrFirouzi/status/1099831731035693056"
"1556740565-5442","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BORReport","BoxOfficeReport.com","Current international totals for A Star is Born include:

U.K. - $39.0M
Australia - $25.8M
France - $17.1M
Japan - $13.4M
Germany - $10.4M
Sweden - $9.9M
Italy - $8.1M
Netherlands - $7.1M
Denmark - $7.1M
Brazil - $6.8M
Spain - $5.6M
Taiwan - $5.3M

#AStarIsBorn  #BoxOffice","","13","37","1551724834000","10:40 AM - 4 Mar 2019","/BORReport/status/1102639992700985344"
"1556740565-5455","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@13Who_Gaga","Tea  ☕","The ""A Star Is Born Era"" has concluded. 2018-2019.  @ladygaga. You truly gave us the fashion, the music, the awards, and the talent we stan you for. This era, in my opinion, is your best one to date. #Oscars #AStarIsBorn #Shallow LOVE YOU MOTHER MONSTER.pic.twitter.com/pLQTlMDgRq","1","4","42","1551068576000","8:22 PM - 24 Feb 2019","/13Who_Gaga/status/1099887444030312450"
"1556740565-5449","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@IndiaCinepolis","Cinépolis India","Can you guess who wrote the song ‘Shallow’ in #AStarIsBorn?
Watch #BradleyCooper and #LadyGaga rediscover love with music in A Star is Born at #CinepolisOscarsFilmFestival.
#Cinepolis #Oscars2019 #Oscars #OscarNoms #AcademyAwards #Winner #OscarWinner #BestOriginalSongpic.twitter.com/N6xkdr6DTn","20","15","16","1551335400000","10:30 PM - 27 Feb 2019","/IndiaCinepolis/status/1101006585063710721"
"1556740565-5427","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@LexiiLach","𝓛𝓮𝔁𝓲 𝓛𝓪𝓬𝓱","A STAR IS BORN GOT COMPLETELY ROBBED TONIGHT. WTF. Best actor- BRADLEY. Best actress- GAGA. Done and done. They better win best picture. #shallow #astarisborn #oscars #oscars2019 #bradleycooper #ladygaga @ladygaga","1","1","3","1551067248000","8:00 PM - 24 Feb 2019","/LexiiLach/status/1099881875810721792"
