web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740393-5395","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@DigitalLA","Digital LA","A Star is Born wins Best Contemporary Movie - Makeup #MUAHSawards. ‘I want to thank Lady Gaga for teaching me to break the rules - Sarah Tannin #AStarIsBorn pic.twitter.com/gObIGOMKPO","1","10","20","1550380756000","9:19 PM - 16 Feb 2019","/DigitalLA/status/1097002518955974656"
"1556740393-5346","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@nextent_he","Next Entertainment","To celebrate #AStarIsBorn ’s release on Blu-Ray™ & DVD, we’re giving away two sets of exclusive merchandise!
You might win:
- An A Star is Born soundtrack CD
- Two branded  t-shirt
- A guitar strap bag
- A songwriter journal

Get guessing #Oscars2019 ENDs: 23.02.19. Ts&Cs Apply.pic.twitter.com/jGXCFNFxLI","100","24","78","1550560221000","11:10 PM - 18 Feb 2019","/nextent_he/status/1097755251820638208"
"1556740393-5404","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ASIBFilm","A Star Is Born","Lady Gaga & Bradley Cooper’s
A Star Is Born Soundtrack lands the #2 spot in the United States. #AStarIsBorn  pic.twitter.com/X5sL7G2Fo0","1","33","118","1550277533000","4:38 PM - 15 Feb 2019","/ASIBFilm/status/1096569568288477184"
"1556740393-5394","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@showcasevoices","showcasevoices","Working on one of our spring pieces from A Star is Born yesterday in rehearsals! #shallow by #BradleyCooper & @ladygaga 

Testing some #harmonies with our Director, Natalie! 

 #AStarIsBorn @starisbornmoviepic.twitter.com/EeGOazAhux","1","10","20","1550415386000","6:56 AM - 17 Feb 2019","/showcasevoices/status/1097147766705455104"
"1556740393-5366","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Jarry2211","Brad Jarry","A star is born is a top 10 all time movie, and I loved it just as much the 2nd time through. Bradley Cooper is an unbelievable actor, and you wouldn’t think that it was Lady Gaga’s first real movie #AStarIsBorn #amazing","","","8","1550630772000","6:46 PM - 19 Feb 2019","/Jarry2211/status/1098051160051802112"
"1556740393-5374","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@atomtickets","Atom Tickets","We polled thousands of Atom movie lovers to see who YOU thought should win #Oscars this year, and here's who you picked:

Best Picture: #AStarIsBorn
Best Actor: #RamiMalek (Bohemiam Rhapsody)
Best Actress: #LadyGaga (A Star Is Born)

 Stay tuned, the big show is tomorrow! pic.twitter.com/fmaruUSxOf","","6","20","1550945521000","10:12 AM - 23 Feb 2019","/atomtickets/status/1099371314308173824"
"1556740393-5339","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ejeremy","Jeremy Lemur","These sex workers REALLY want 'A Star Is Born' to win a best picture Oscar...

https://theblast.com/star-is-born-academy-awards-sheris-ranch-brothel-discount/ … 

#AStarIsBorn #Oscars2019(@allissa4you @RanchMamaDena)","1","4","9","1550757570000","5:59 AM - 21 Feb 2019","/ejeremy/status/1098582991129927682"
"1556740393-5348","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@gallag13","Rebekah Gallagher","Robbie belting out Shallow from a Star is Born. Is favourite song ever as he tells me #boy #4yearsold #talented #ladygaga #AStarIsBorn #shallow @ladygagapic.twitter.com/uQmxIhpXh1","1","","3","1550626373000","5:32 PM - 19 Feb 2019","/gallag13/status/1098032713116909568"
"1556740393-5351","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@HighDefDiscNews","HighDefDiscNews.com","A Star is Born - 4K UHD Blu-ray Screenshots 

#AStarIsBorn #BradleyCooper #LadyGaga #SamElliott #DaveChappelle #4K #Screenshots #4KUHDBluray #4KScreenshots @UltraHDBluray 

(Screenshots by @SpoilerFreeMike) 

VIEW:https://highdefdiscnews.com/2019/02/19/a-star-is-born-4k-uhd-blu-ray-screenshots/ …","","1","5","1550607771000","12:22 PM - 19 Feb 2019","/HighDefDiscNews/status/1097954690426380289"
"1556740393-5337","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@awards_watch","🇺🇸 🍑 AmErika's Ass  🇺🇸 🍑","BEST ORIGINAL SONG: ""Shallow,"" A Star Is Born
Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt
#INOCA #Shallow #AStarIsBorn pic.twitter.com/rpQZ0oX9wT","3","107","376","1550949743000","11:22 AM - 23 Feb 2019","/awards_watch/status/1099389024765005824"
