web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740763-5471","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@mKiK808","Mark Kanemura","when it’s Cut To The Feeling Friday but you’re still obsessing over A Star Is Born.  

#cuttothefeelingfriday #astarisborn  #pride #pridepic.twitter.com/0TfviPKBXd","54","678","2.7K","1540582750000","12:39 PM - 26 Oct 2018","/mKiK808/status/1055906701772091392"
"1556740763-5526","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@955PLJ","95.5 PLJ","If you saw ""A Star Is Born"" you'll totally get this.... #HappyHalloween  #AStarIsBorn — hey @ladygaga how’d we do?? @JohnMingione @joepardavilapic.twitter.com/2yztHMLley","1","4","18","1540990526000","5:55 AM - 31 Oct 2018","/955PLJ/status/1057617040624750592"
"1556740763-5510","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@_kelbutterworth","Kelly Butterworth","Still not over watching A Star Is Born today, what a moving love story . Live vocals from Bradley Cooper and Lady Gaga, they were amazing  #AStarIsBorn","2","50","214","1540148930000","12:08 PM - 21 Oct 2018","/_kelbutterworth/status/1054087131365302272"
"1556740763-5550","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@missyrae333","♏issy Rae","i’ve seen a star is born twice now. it’s an instant classic... thrilling, captivating and devastating all at once. it really touched me and shook me to my core. lady gaga & bradley cooper are beyond brilliant. both the story and the soundtrack have given me wings. #astarisborn  pic.twitter.com/9lGy0JPZtS","17","119","615","1539822970000","5:36 PM - 17 Oct 2018","/missyrae333/status/1052719956364689408"
"1556740763-5570","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@cinema76fs","Cinema '76","Maraming salamat, beshies. 

Sa mga hindi pa nakapanood, don't miss this talk-of-the-town movie at Cinema '76 Anonas! Meron pa tayong 10:00PM screening for tonight! 

A Star is Born, now showing from October 12-18, 2018!

#AStarIsBorn
#LadyGagaPH
#LadyGagapic.twitter.com/rIOw0WUQoX","","3","37","1539427181000","3:39 AM - 13 Oct 2018","/cinema76fs/status/1051059895447867393"
"1556740763-5599","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@Trazlersgal","Janice Dash","#LadyGaga And #BradleyCooper's 'A Star Is Born' Soundtrack Is Set To Top The Charts via @forbes https://www.forbes.com/sites/markbeech/2018/10/11/a-star-is-born-heads-for-top-in-another-way-via-its-soundtrack/ … #music #Soundtrack #AStarIsBorn","","","1","1539306194000","6:03 PM - 11 Oct 2018","/Trazlersgal/status/1050552437579374592"
"1556740763-5489","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@FameMonsterNYC","▫️Gaga’s illusion ▪️","A Star is Born dominating the box office in .  pic.twitter.com/HbV4j1u5Yo #AStarIsBorn","","2","4","1540172552000","6:42 PM - 21 Oct 2018","/FameMonsterNYC/status/1054186209411588096"
"1556740763-5540","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@sheisserve","lari  ❓","I watched this movie twice, and it’s amazing, Bradley and Gaga did great, the storyline is so moving and the soundtrack is just perfect. GO WATCH A STAR IS BORN
#AStarIsBorn #AStarIsBornMovie #BradleyCooper 
@ladygaga @starisbornmoviepic.twitter.com/sOOnsD9kIN","1","4","19","1540260206000","7:03 PM - 22 Oct 2018","/sheisserve/status/1054553853704749056"
"1556740763-5559","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@LifeStyleLinked","Becky","Watched A star is born and was totally blown away. So much chemistry, beautiful acting and gorgeous songs. I already want to watch it again! #AStarIsBorn #AStarIsBornMovie #LadyGaga #movies #movie #gagapic.twitter.com/yY1X2GCndl","4","59","348","1539638830000","2:27 PM - 15 Oct 2018","/LifeStyleLinked/status/1051947617171791874"
"1556740763-5546","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@Gemmy0298","gem ︽✵︽","I can’t stop thinking about a Star is born  it’s so powerful #AStarIsBorn pic.twitter.com/i9L8b7tGEt","","3","9","1540022574000","1:02 AM - 20 Oct 2018","/Gemmy0298/status/1053557155792441344"
