web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556636117-6","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@Raquel_X_Rivera","Raquel Rivera","Still am blown away by his outstanding performance in #DarkestHour! Such an excellent film!","","","2","1553174589000","6:23 AM - 21 Mar 2019","/Raquel_X_Rivera/status/1108720702327271424"
"1556636117-40","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@darkesthourrock","DARKEST HOUR","Hmmmm is the approach of this valentine to direct? 

Pro-mo card for out Human Romance album! 

Either way - happy V day from dudes who make pissed off music for people who are pissed off! !

#darkesthour... https://www.facebook.com/6831139414/posts/10157358167504415/ …","2","","9","1550153753000","6:15 AM - 14 Feb 2019","/darkesthourrock/status/1096050398291480579"
"1556636117-20","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@ExpressFM","Express FM","@dazzlergamblen is on with tunes making Wednesday feel like Friday! 

 @AntonioForcione joining us to talk his gig @PortsmouthGhall 

 Plus, two tickets to see #DarkestHour with @portsmouthfilms 

http://expressfm.com/darren pic.twitter.com/rNMpTxqhCs","","4","6","1554887520000","2:12 AM - 10 Apr 2019","/ExpressFM/status/1115905256838324228"
"1556636117-3","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@RemarkableJamie","Jamíe From Twítter ","Sitting watching Darkest Hour with my mum in amazement at Gary Old man’s performance, just awesome  #DarkestHour","3","1","5","1552853472000","1:11 PM - 17 Mar 2019","/RemarkableJamie/status/1107373839879757824"
"1556636117-22","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@OnlyFilmMedia","Only Film Media","Today is #LilyJames' 30th birthday.
Her film work includes:
#Cinderella (2015), #PrideAndPrejudiceAndZombies (2016), #BabyDriver (2017), #DarkestHour (2017), #GuernseyMovie (2018), & #MammaMia2 (2018).
#HappyBirthdayLilyJames!pic.twitter.com/EjVkXiC4Bx","","14","58","1554472169000","6:49 AM - 5 Apr 2019","/OnlyFilmMedia/status/1114163150734155776"
"1556636117-24","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@Unearthofficial","UNEARTH","Vienna!  Last gig of the tour is tonight at the Arena.  Come send us all off with one last banger.  #deathtofalsemetalcoretour #unearth #darkesthour #miserysignals #malevolence #leftbehind… https://www.instagram.com/p/BvtlUvrl419/?utm_source=ig_twitter_share&igshid=mtgtnuvouzay …","","2","8","1554120533000","5:08 AM - 1 Apr 2019","/Unearthofficial/status/1112688278816337920"
"1556636117-14","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@DitaKelly1","Dita Kelly","It was awesome... best line ever about Churchill  ""he's mobilised the English Language and sent it into battle"" #DarkestHour","","","1","1550433900000","12:05 PM - 17 Feb 2019","/DitaKelly1/status/1097225419420549124"
"1556636117-32","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@OnRPG","OnRPG","@TripwireInt is celebrating 13 years of Red Orchestra with a new #DarkestHour update.

http://www.onrpg.com/videos/red-orchestra-celebrates-13-years-with-new-darkest-hour-update/ …pic.twitter.com/zzgr4v5xGq","","3","3","1552574799000","7:46 AM - 14 Mar 2019","/OnRPG/status/1106205003079970817"
"1556636117-41","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@brwc","brwc","Callum Forbes looks at #Churchill film #DarkestHour:

https://battleroyalewithcheese.com/2018/01/another-take-darkest-hour/ …","1","","","1550148929000","4:55 AM - 14 Feb 2019","/brwc/status/1096030166864793602"
"1556636117-17","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@MajBenTallmadge","Major Benjamin Tallmadge 🇺🇸","I’m trying but I am having some serious technical difficulties. I’ve tried every way I can and I’m getting a very poor quality signal.  #DarkestHour","1","","1","1553560487000","5:34 PM - 25 Mar 2019","/MajBenTallmadge/status/1110339278008012800"
"1556636117-13","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@kydizzel","Dizzel","Gary Oldman is brilliant in #DarkestHour My god I enjoyed this movie.","1","1","2","1553058867000","10:14 PM - 19 Mar 2019","/kydizzel/status/1108235332468695040"
"1556636117-12","https://twitter.com/search?l=&q=%23darkesthour%20since%3A2019-02-14%20until%3A2019-04-23&src=typd","@KatieSilverSpri","KatieSilverSpring","If everyone could watch #DarkestHour again and again, the singular scene of Dunkirk, commercial vessels, ie, boatmen, fisherman, coming to the call of defense of their country, the locals, that is, the ""flyover country"" people today.","","","2","1555198830000","4:40 PM - 13 Apr 2019","/KatieSilverSpri/status/1117210984119242752"
