web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556739923-5177","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@trufflehard","Barret Trufflehard","SCIFI AUTHOR VISITS SANTA MONICA BEACH CARNIVAL http://youtu.be/y7JAwkAZ5aw  #santamonica #santamonicabeach #writer #author #booktube #losangeles #agoraphobe #vice #california #lavlog #carnival #korean #retro #nostalgia #vlog #ca #latimes #npr #90s #scifi #sciencefiction #genx #arcade","","","2","1551829484000","3:44 PM - 5 Mar 2019","/trufflehard/status/1103078925897469954"
"1556739923-5194","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@oscarmayer","Oscar Mayer","Hey #AdamMcKay–When you write a movie about your life, you could write in a scene about a time you rode around in a giant hot dog. Yup. We’re around the corner if you want a ride in our Oscar @Wienermobile. #AndTheOscarGoesTo #BestDirector #VICE","","1","8","1551067743000","8:09 PM - 24 Feb 2019","/oscarmayer/status/1099883951542407168"
"1556739923-5149","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@WiseHaley26","Haley Wise","My tradition for #Lent is giving up a #Vice to celebrate but this year for #Lent2019 I’m want to give up 3 (#Soda , #Chocolate  and Pork ) so wish me luck #AshWednesday2019pic.twitter.com/8SHRgPdVLl","","","1","1551907542000","1:25 PM - 6 Mar 2019","/WiseHaley26/status/1103406325227126786"
"1556739923-5218","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@TepidSharkTake2","Benji Black","#Oscars Predictions:

#BestFilmEditing:

Will win: #Vice but
pulling for #BlacKKKlansman","","","","1551052800000","4:00 PM - 24 Feb 2019","/TepidSharkTake2/status/1099821274891730944"
"1556739923-5187","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@FilmCompanion","Film Companion","Didn’t wake up in time to catch the #Oscars19 live? Here’s a round up of who took the trophies home.

#TheGreenBook #TheFavourite #Blackkklansman #Roma #BohemianRhapsody #Vice #BlackPanther #AStarIsBorn #PeriodEndOfSentence #OliviaColman @ladygaga #RamiMalek  #MahershalaAlipic.twitter.com/U5KtvFzQvv","","4","13","1551096059000","4:00 AM - 25 Feb 2019","/FilmCompanion/status/1100002717836214273"
"1556739923-5206","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@ThePlaylist","The Playlist  🎬","And the award for Best Makeup and Hairstyling goes to #VICE #Oscars #Oscars 2019 https://bit.ly/2H19Wqk pic.twitter.com/rNkZDyKMEB","17","157","1.4K","1551057975000","5:26 PM - 24 Feb 2019","/ThePlaylist/status/1099842980398149632"
"1556739923-5185","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@IFTA_Official","IFTA","#Independentfilms #GreenBook #Roma #BealeStreet #Vice took home #Oscars in 8 categories at the #AcademyAwards! Congrats to the IFTA Members involved in this year’s Oscar Films @AnnapurnaPics @eonefilms @lionsgate @Participant!  http://bit.ly/2IBuFDw pic.twitter.com/Fnebx47ymT","","5","13","1551123312000","11:35 AM - 25 Feb 2019","/IFTA_Official/status/1100117023080689664"
"1556739923-5219","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","null","null","null","null","null","null","null","null","null"
"1556739923-5164","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@rjlawson07","n00bmaster69","That clip they showed from #Vice for Bale’s best actor award should win him the award in and of itself. End of the movie, him speaking to the audience and telling us that we’re welcome for everything he did. Pretty chilling.","2","","1","1551066286000","7:44 PM - 24 Feb 2019","/rjlawson07/status/1099877841263648768"
"1556739923-5188","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@irem_trky","Irem","I'm happy with the #AcademyAwards winners this year. I think #Vice could have gotten more acclaim & #BlackPanther a little less, but oh well...
#Oscarspic.twitter.com/mWEyoSgbYU","","","7","1551079447000","11:24 PM - 24 Feb 2019","/irem_trky/status/1099933042506981376"
