web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556739755-5115","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@FarrierCollins","Farrier Collins","Some more #ViceMovie FYC ads to go along with today's batch. 

#Vice #AdamMcKay #ChristianBale #AmyAdams #SamRockwell #AnnapurnaPicturespic.twitter.com/UnWX3vy7WS","","1","5","1550127578000","10:59 PM - 13 Feb 2019","/FarrierCollins/status/1095940613923467265"
"1556739755-5129","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@sunchick116","Natalie","I think #vice just rivaled #roma as most boring movie of the year.","","","","1550109878000","6:04 PM - 13 Feb 2019","/sunchick116/status/1095866375724122112"
"1556739755-5136","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","null","null","null","null","null","null","null","null","null"
"1556739755-5088","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ieEntertainment","Indian Express Entertainment","The nominees for Best Actor this year include Bradley Cooper for #AStarIsBorn , Rami Malek for #BohemianRhapsody , Viggo Mortensen for #GreenBook , Willem Dafoe for #AtEternitysGate and Christian Bale for #Vice
https://indianexpress.com/article/entertainment/hollywood/road-to-oscars-2019-bradley-cooper-a-star-is-born-best-actor-5595410/ …","3","6","31","1550803374000","6:42 PM - 21 Feb 2019","/ieEntertainment/status/1098775105524486145"
"1556739755-5056","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@LaurenLeHarper","Lauren Harper","Declassified docs show #Cheney ""presented a danger to civilians whether they were armed or not by shooting his hunting partner in 2006."" Great read from @NSArchive on The #VICE File just in time for this year's #Oscars https://nsarchive.gwu.edu/briefing-book/foia/2019-02-22/vice-file-dick-cheney-declassified … #FOIA","","3","4","1550856517000","9:28 AM - 22 Feb 2019","/LaurenLeHarper/status/1098998003573161984"
"1556739755-5122","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@jasjanae","Jasmine Arya Stan","In our #Oscars best picture watch, we are just over halfway through. 

Just finished #Vice, and... YIKES!!

This one quickly sank to the bottom of my list of who-will-get-Best-Picture 

Bale, Rockwell, and Adams acted well. But, the story was off, the directing was boring.","1","","","1550117739000","8:15 PM - 13 Feb 2019","/jasjanae/status/1095899345390571521"
"1556739755-5078","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@Shutterstock","Shutterstock","""When designing my poster, I chose to reference artist #CoritaKent. The themes she references in her work – poverty, racism, war, and social justice – closely parallel those portrayed in the film.” by Jennifer Forrest 

#VICE #Oscars | https://shutr.bz/2XkFu03 pic.twitter.com/XqcbxuhzTb","1","4","15","1550931985000","6:26 AM - 23 Feb 2019","/Shutterstock/status/1099314539861078016"
"1556739755-5073","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@theeditingroom","The Editing Room","To better get into the mindset of Dick Cheney, Christian Bale would squeeze a hamster to death with his bare hands several times a day on set.

Vice is abridged: https://www.the-editing-room.com/vice.html  #Vice pic.twitter.com/Pdge73A6f3","1","","5","1550852006000","8:13 AM - 22 Feb 2019","/theeditingroom/status/1098979084175134722"
"1556739755-5112","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@jimmykimmel","Jimmy Kimmel","We swapped Amy Adams for her Mom in #Vice and the results are award-worthy… #Oscars #AcademommyAwards @ViceMoviepic.twitter.com/3JioAXD5vD","9","56","384","1550170339000","10:52 AM - 14 Feb 2019","/jimmykimmel/status/1096119967714488320"
"1556739755-5049","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@AmeliaAndAdinah","AmeliaAndAdinah","#vice #v1ce #makingadifference #stoptheviolence #partiprogram #inspiringothers #wrestler #singer #yourfavoritetwinstarsameliaandadinah #twinemcees #twinhosts Thankful for this talented… https://www.instagram.com/p/BuE38BsDqdK/?utm_source=ig_twitter_share&igshid=1kkpbzlj8155g …","","","2","1550607763000","12:22 PM - 19 Feb 2019","/AmeliaAndAdinah/status/1097954656481918976"
