web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740198-5221","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@AIR305","ALdonis SLASHburn™","Vice jerseys on national TV  @MiamiHEAT #VICE pic.twitter.com/0IgSlOWboc","1","3","15","1545197837000","9:37 PM - 18 Dec 2018","/AIR305/status/1075263780358184961"
"1556740198-5280","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Collider","Collider","#Vice might not be ""fair"" to Dick Cheney, but when has Cheney ever cared about fairness? @MattGoldberg reviews:http://bit.ly/2R3VCT6","1","14","35","1545066063000","9:01 AM - 17 Dec 2018","/Collider/status/1074711079522066433"
"1556740198-5323","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Variety","Variety","Adam McKay says #Vice encapsulates all the different tones of politics pic.twitter.com/5GQwLmlj6o","1","7","18","1544585397000","7:29 PM - 11 Dec 2018","/Variety/status/1072695020644270080"
"1556740198-5301","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@FarrierCollins","Farrier Collins","Loving all the noms that #ViceMovie got here! #Vice #AnnapurnaPictureshttps://twitter.com/NextBestPicture/status/1075762466557214720 …","","3","5","1545327905000","9:45 AM - 20 Dec 2018","/FarrierCollins/status/1075809326546092032"
"1556740198-5263","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@twoguysonset","Two Guys On Set Podcast  🎙 🎥","There’s an all new episode of the Two Guys On Set #Podcadt today!! This week we talk about earthquakes, net 30 paychecks, and Christian Bale’s latest role in the movie #Vice! 

#PodernFamily #podcasters #onset #SetLife #productionlife #podcastshttps://itunes.apple.com/us/podcast/two-guys-on-set-podcast/id1405214142?mt=2 …","","9","18","1544823193000","1:33 PM - 14 Dec 2018","/twoguysonset/status/1073692410767499264"
"1556740198-5330","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@ThePlaylist","The Playlist  🎬","""I believe... we can make this work."" #Vice #ViceMovie 
The Best Movie Posters Of 2018 https://bit.ly/2rhBpLg pic.twitter.com/J3i6P2P7m9","1","4","17","1544538121000","6:22 AM - 11 Dec 2018","/ThePlaylist/status/1072496731764469761"
"1556740198-5291","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@IndieWire","IndieWire","As the year comes to a close, here's where the Oscar race stands. 

Plus, @akstanwyck and @erickohn share their reactions to #Vice and #MaryPoppinsReturns: http://bit.ly/2V1owCu pic.twitter.com/aoXiETvTBL","","2","17","1545422400000","12:00 PM - 21 Dec 2018","/IndieWire/status/1076205667118006272"
"1556740198-5293","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@APEntertainment","AP Entertainment","GO BIG OR GO HOME, AND GET A NEW CAREER: #ChristianBale plays #DickCheney in #Vice and says he knew it could go very wrong, which was part of the appeal. pic.twitter.com/MQlCgTDEWb","7","17","79","1545402060000","6:21 AM - 21 Dec 2018","/APEntertainment/status/1076120354198863873"
"1556740198-5329","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@cdougherty81","Chris Dougherty","When you shoot a movie @vicemovie and don’t get to go to the premiere. Whomp Whomp. I’ll go to the next 1 when my lines don’t get cut  In all seriousness, go see this movie   It’s incredible!!! So lucky to have been a tiny part of it #vice #bestoftheyear #philipperry","","","5","1544557071000","11:37 AM - 11 Dec 2018","/cdougherty81/status/1072576212793475079"
"1556740198-5334","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@IndieWire","IndieWire","#CriticsChoiceAwards Best Picture nominees: http://bit.ly/2C2c9Pi 

#BlackPanther
#BlacKkKlansman
#TheFavourite
#FirstMan
#GreenBook
#IfBealeStreetCouldTalk 
#MaryPoppinsReturns
#Roma
#AStarIsBorn
#Vice pic.twitter.com/r2UBYEAThj","","16","54","1544493600000","6:00 PM - 10 Dec 2018","/IndieWire/status/1072309996250193920"
"1556740198-5319","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@daiIyadams","daily amy adams","Amy Adams with Lily Rabe at LA premiere of #Vice. pic.twitter.com/lkvrYRPyz4","1","3","18","1544625869000","6:44 AM - 12 Dec 2018","/daiIyadams/status/1072864775384686592"
"1556740198-5331","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@MedvedSHOW","Michael Medved","The new movie #VICE, for all its critical acclaim and awards nominations, isn't so much a political biography as it is a monster movie - with #DickCheney (in an uncanny impersonation by #ChristianBale) devouring DC just as ruthlessly as #Godzilla destroyed Tokyo.","13","6","29","1544517729000","12:42 AM - 11 Dec 2018","/MedvedSHOW/status/1072411199596306433"
"1556740198-5332","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@extratv","ExtraTV","Unreal transformation! Christian Bale reveals how he shed the 40 lbs. he gained to play Dick Cheney in #Vice. pic.twitter.com/0W2aYdvh4O","1","3","10","1544502600000","8:30 PM - 10 Dec 2018","/extratv/status/1072347747364175874"
"1556740198-5229","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@LWilson6584","Lee Wilson","@forwardleeds #recoverycoordinator Ruth being interviewed by @VICEUK talking about #drugscene & #prescribedmeds in the #UK and #leeds. #Vice are documenting a #serviceuser who is being supported by Ruth & #ForwardLeeds. #Recovery #publichealth #substanceusepic.twitter.com/xYj2AG4MO4","","5","15","1545225616000","5:20 AM - 19 Dec 2018","/LWilson6584/status/1075380292863619072"
"1556740198-5261","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Collider","Collider","We talk to Amy Adams about #Vice, what it means to be an Oscar movie and ...... spoonerisms. http://bit.ly/2CqH73U","","4","17","1545323487000","8:31 AM - 20 Dec 2018","/Collider/status/1075790796773883911"
